ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
921730468025883828!,great-bipedal-bumblebee,0.000000,1.547051,-1.978286,0.000000,-1.978286,0.000000,0.000000,0.000000,0.000000,172.351346,-389.725633
921730468025883828!,great-bipedal-bumblebee,0.010000,1.543522,-1.972314,0.000000,-1.972314,-0.705905,1.194269,0.000000,1.194269,151.502685,-341.819380
921730468025883828!,great-bipedal-bumblebee,0.020000,1.533384,-1.955162,0.000000,-1.955162,-1.320502,2.234061,0.000000,2.234061,132.840629,-298.937530
921730468025883828!,great-bipedal-bumblebee,0.030000,1.517495,-1.928281,0.000000,-1.928281,-1.853367,3.135577,0.000000,3.135577,116.147750,-260.580471
921730468025883828!,great-bipedal-bumblebee,0.040000,1.496625,-1.892974,0.000000,-1.892974,-2.313125,3.913408,0.000000,3.913408,101.228043,-226.297826
921730468025883828!,great-bipedal-bumblebee,0.050000,1.471465,-1.850406,0.000000,-1.850406,-2.707542,4.580693,0.000000,4.580693,87.904764,-195.683469
921730468025883828!,great-bipedal-bumblebee,0.060000,1.442656,-1.801667,0.000000,-1.801667,-3.043608,5.149259,0.000000,5.149259,76.020351,-168.375351
921730468025883828!,great-bipedal-bumblebee,0.070000,1.410769,-1.747719,0.000000,-1.747719,-3.327626,5.629768,0.000000,5.629768,65.432084,-144.045531
921730468025883828!,great-bipedal-bumblebee,0.080000,1.376291,-1.689389,0.000000,-1.689389,-3.565272,6.031824,0.000000,6.031824,56.009606,-122.394470
921730468025883828!,great-bipedal-bumblebee,0.090000,1.339653,-1.627404,0.000000,-1.627404,-3.761651,6.364064,0.000000,6.364064,47.635030,-103.151288
921730468025883828!,great-bipedal-bumblebee,0.100000,1.301238,-1.562412,0.000000,-1.562412,-3.921354,6.634253,0.000000,6.634253,40.202138,-86.071919
921730468025883828!,great-bipedal-bumblebee,0.110000,1.261388,-1.494993,0.000000,-1.494993,-4.048504,6.849369,0.000000,6.849369,33.615327,-70.936682
921730468025883828!,great-bipedal-bumblebee,0.120000,1.220409,-1.425663,0.000000,-1.425663,-4.146807,7.015680,0.000000,7.015680,27.788551,-57.547861
921730468025883828!,great-bipedal-bumblebee,0.130000,1.178572,-1.354882,0.000000,-1.354882,-4.219591,7.138818,0.000000,7.138818,22.644329,-45.727417
921730468025883828!,great-bipedal-bumblebee,0.140000,1.136118,-1.283058,0.000000,-1.283058,-4.269845,7.223840,0.000000,7.223840,18.112865,-35.314977
921730468025883828!,great-bipedal-bumblebee,0.150000,1.093262,-1.210553,0.000000,-1.210553,-4.300254,7.275286,0.000000,7.275286,14.131279,-26.166049
921730468025883828!,great-bipedal-bumblebee,0.160000,1.050191,-1.137684,0.000000,-1.137684,-4.313225,7.297231,0.000000,7.297231,10.642910,-18.150443
921730468025883828!,great-bipedal-bumblebee,0.170000,1.007071,-1.064733,0.000000,-1.064733,-4.310919,7.293329,0.000000,7.293329,7.596707,-11.150849
921730468025883828!,great-bipedal-bumblebee,0.180000,0.964048,-0.991945,0.000000,-0.991945,-4.295271,7.266856,0.000000,7.266856,4.946672,-5.061573
921730468025883828!,great-bipedal-bumblebee,0.190000,0.921248,-0.919535,0.000000,-0.919535,-4.268018,7.220748,0.000000,7.220748,2.651364,0.212608
921730468025883828!,great-bipedal-bumblebee,0.200000,0.878782,-0.847690,0.000000,-0.847690,-4.230712,7.157633,0.000000,7.157633,0.673451,4.757476
921730468025883828!,great-bipedal-bumblebee,0.210000,0.836747,-0.776573,0.000000,-0.776573,-4.184744,7.079863,0.000000,7.079863,-1.020693,8.650295
921730468025883828!,great-bipedal-bumblebee,0.220000,0.795224,-0.706323,0.000000,-0.706323,-4.131356,6.989540,0.000000,6.989540,-2.461348,11.960648
921730468025883828!,great-bipedal-bumblebee,0.230000,0.754285,-0.637062,0.000000,-0.637062,-4.071659,6.888543,0.000000,6.888543,-3.675784,14.751189
