ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
237080511941520283!,great-devious-beetle,0.000000,1.246422,-0.472507,1.099553,1.020286,0.000000,0.000000,0.000000,0.000000,-578.435633,-350.261796
237080511941520283!,great-devious-beetle,0.010000,1.232202,-0.480883,1.105570,1.013762,-2.843204,-1.654812,1.203048,-1.311999,-351.045525,-220.939396
237080511941520283!,great-devious-beetle,0.020000,1.194748,-0.501853,1.121290,0.996348,-4.646065,-2.501419,1.935931,-2.178697,-207.340648,-139.168266
237080511941520283!,great-devious-beetle,0.030000,1.142561,-0.528469,1.142859,0.971531,-5.781248,-2.783772,2.367829,-2.785391,-123.634117,-88.016261
237080511941520283!,great-devious-beetle,0.040000,1.081219,-0.556184,1.167875,0.941311,-6.470162,-2.728510,2.623319,-3.254726,-77.421093,-55.461984
237080511941520283!,great-devious-beetle,0.050000,1.014542,-0.582421,1.194953,0.906690,-6.848168,-2.494647,2.777737,-3.660861,-53.117896,-34.061132
237080511941520283!,great-devious-beetle,0.060000,0.945226,-0.605916,1.223285,0.868086,-7.002768,-2.183263,2.871107,-4.045891,-41.126002,-19.454098
237080511941520283!,great-devious-beetle,0.070000,0.875222,-0.626221,1.252355,0.825595,-6.994322,-1.856318,2.921865,-4.432213,-35.818065,-9.129538
237080511941520283!,great-devious-beetle,0.080000,0.805946,-0.643385,1.281770,0.779145,-6.867332,-1.551135,2.936196,-4.830329,-33.962063,-1.629796
237080511941520283!,great-devious-beetle,0.090000,0.738409,-0.657739,1.311156,0.728609,-6.656567,-1.289656,2.913811,-5.243502,-33.718890,3.912075
237080511941520283!,great-devious-beetle,0.100000,0.673284,-0.669760,1.340112,0.673869,-6.390372,-1.083940,2.851401,-5.670530,-34.051078,8.031844
237080511941520283!,great-devious-beetle,0.110000,0.610987,-0.680019,1.368208,0.614823,-6.092601,-0.939464,2.744414,-6.107334,-34.376990,11.077323
237080511941520283!,great-devious-beetle,0.120000,0.551719,-0.689123,1.394972,0.551411,-5.783584,-0.857110,2.588278,-6.547883,-34.376232,13.285873
237080511941520283!,great-devious-beetle,0.130000,0.495498,-0.697674,1.419893,0.483637,-5.480642,-0.834387,2.379122,-6.984775,-33.875955,14.828183
237080511941520283!,great-devious-beetle,0.140000,0.442190,-0.706240,1.442429,0.411580,-5.198319,-0.866250,2.114251,-7.409627,-32.783657,15.833820
237080511941520283!,great-devious-beetle,0.150000,0.391530,-0.715334,1.462021,0.335403,-4.948463,-0.945700,1.792467,-7.813361,-31.046744,16.406960
237080511941520283!,great-devious-beetle,0.160000,0.343150,-0.725395,1.478104,0.255359,-4.740215,-1.064286,1.414302,-8.186457,-28.628244,16.636574
237080511941520283!,great-devious-beetle,0.170000,0.296605,-0.736773,1.490129,0.171798,-4.579979,-1.212579,0.982182,-8.519192,-25.493000,16.603168
237080511941520283!,great-devious-beetle,0.180000,0.251401,-0.749723,1.497580,0.085165,-4.471388,-1.380640,0.500551,-8.801905,-21.601350,16.383077
237080511941520283!,great-devious-beetle,0.190000,0.207019,-0.764402,1.499995,-0.003999,-4.415320,-1.558483,-0.024064,-9.025299,-16.907824,16.051672
237080511941520283!,great-devious-beetle,0.200000,0.162940,-0.780867,1.496984,-0.095065,-4.409933,-1.736579,-0.583023,-9.180809,-11.366470,15.683025
237080511941520283!,great-devious-beetle,0.210000,0.118685,-0.799081,1.488259,-0.187309,-4.450773,-1.906438,-1.165570,-9.261017,-4.942765,15.344955
237080511941520283!,great-devious-beetle,0.220000,0.073822,-0.818933,1.473644,-0.279953,-4.531150,-2.060823,-1.759176,-9.260109,2.384328,15.105856
237080511941520283!,great-devious-beetle,0.230000,0.028001,-0.840246,1.453098,-0.372165,-4.642347,-2.194336,-2.349722,-9.174353,10.600393,15.022526
237080511941520283!,great-devious-beetle,0.240000,-0.019033,-0.862799,1.426728,-0.463083,-4.774107,-2.303638,-2.922026,-9.002571,19.643842,15.138160
237080511941520283!,great-devious-beetle,0.250000,-0.067428,-0.886347,1.394800,-0.551846,-4.915191,-2.387595,-3.460516,-8.746518,29.392260,15.476751
237080511941520283!,great-devious-beetle,0.260000,-0.117211,-0.910645,1.357733,-0.637622,-5.054005,-2.447264,-3.950053,-8.411115,39.651750,16.037577
237080511941520283!,great-devious-beetle,0.270000,-0.168296,-0.935470,1.316096,-0.719646,-5.179290,-2.485665,-4.376880,-8.004478,50.151681,16.790716
237080511941520283!,great-devious-beetle,0.280000,-0.220484,-0.960637,1.270591,-0.797245,-5.280810,-2.507369,-4.729589,-7.537671,60.547363,17.674778
237080511941520283!,great-devious-beetle,0.290000,-0.273478,-0.986013,1.222019,-0.869868,-5.349994,-2.517894,-5.000022,-7.024191,70.432778,18.598116
237080511941520283!,great-devious-beetle,0.300000,-0.326904,-1.011521,1.171250,-0.937110,-5.380465,-2.522980,-5.183965,-6.479196,79.364617,19.444559
237080511941520283!,great-devious-beetle,0.310000,-0.380331,-1.037142,1.119177,-0.998721,-5.368413,-2.527836,-5.281535,-5.918543,86.897204,20.084117
237080511941520283!,great-devious-beetle,0.320000,-0.433304,-1.062902,1.066673,-1.054613,-5.312759,-2.536457,-5.297168,-5.357748,92.625731,20.388109
237080511941520283!,great-devious-beetle,0.330000,-0.485367,-1.088858,1.014548,-1.104850,-5.215100,-2.551136,-5.239194,-4.810984,96.232717,20.246932
237080511941520283!,great-devious-beetle,0.340000,-0.536179,-1.115011,0.963419,-1.149706,-5.079513,-2.572441,-5.119245,-4.289776,97.534526,19.584399
237080511941520283!,great-devious-beetle,0.350000,-0.585528,-1.141320,0.913695,-1.189606,-4.912063,-2.599284,-4.950817,-3.802552,96.514559,18.373206
237080511941520283!,great-devious-beetle,0.360000,-0.633121,-1.167842,0.865793,-1.224909,-4.719914,-2.628752,-4.747591,-3.355704,93.319183,16.650267
237080511941520283!,great-devious-beetle,0.370000,-0.678742,-1.194596,0.819999,-1.256026,-4.510804,-2.657122,-4.522923,-2.952800,88.245854,14.504632
237080511941520283!,great-devious-beetle,0.380000,-0.722253,-1.221562,0.776472,-1.283391,-4.292416,-2.680530,-4.288881,-2.594841,81.709022,12.065098
237080511941520283!,great-devious-beetle,0.390000,-0.763589,-1.248680,0.735260,-1.307438,-4.071810,-2.695579,-4.055546,-2.280705,74.190091,9.481682
237080511941520283!,great-devious-beetle,0.400000,-0.802750,-1.275858,0.696323,-1.328583,-3.854981,-2.699797,-3.830638,-2.007673,66.180604,6.904752
237080511941520283!,great-devious-beetle,0.410000,-0.839791,-1.302984,0.659556,-1.347214,-3.646590,-2.691866,-3.619454,-1.771978,58.129221,4.466088
237080511941520283!,great-devious-beetle,0.420000,-0.874809,-1.329936,0.624812,-1.363675,-3.449869,-2.671630,-3.425068,-1.569305,50.401702,2.265395
237080511941520283!,great-devious-beetle,0.430000,-0.907924,-1.356597,0.591919,-1.378271,-3.266695,-2.639920,-3.248707,-1.395206,43.259237,0.364099
237080511941520283!,great-devious-beetle,0.440000,-0.939285,-1.382856,0.560691,-1.391268,-3.097799,-2.598288,-3.090212,-1.245378,36.856700,-1.213820
237080511941520283!,great-devious-beetle,0.450000,-0.969075,-1.408624,0.530914,-1.402901,-2.943025,-2.548712,-2.948492,-1.115827,31.256424,-2.475564
237080511941520283!,great-devious-beetle,0.460000,-0.997423,-1.433837,0.502437,-1.413349,-2.801585,-2.493174,-2.821938,-1.003182,26.442402,-3.450139
237080511941520283!,great-devious-beetle,0.470000,-1.024447,-1.458451,0.475128,-1.422762,-2.672355,-2.433545,-2.708742,-0.904578,22.351149,-4.178698
237080511941520283!,great-devious-beetle,0.480000,-1.050257,-1.482437,0.448870,-1.431264,-2.554077,-2.371445,-2.607116,-0.817638,18.894337,-4.706349
237080511941520283!,great-devious-beetle,0.490000,-1.074950,-1.505782,0.423561,-1.438957,-2.445495,-2.308191,-2.515408,-0.740417,15.976265,-5.076303
237080511941520283!,great-devious-beetle,0.500000,-1.098612,-1.528480,0.399114,-1.445928,-2.345439,-2.244792,-2.432165,-0.671342,13.505406,-5.326464
237080511941520283!,great-devious-beetle,0.510000,-1.121320,-1.550536,0.375456,-1.452251,-2.252866,-2.181985,-2.356146,-0.609144,11.400675,-5.488018
237080511941520283!,great-devious-beetle,0.520000,-1.143141,-1.571960,0.352522,-1.457988,-2.166864,-2.120278,-2.286309,-0.552800,9.593757,-5.585420
237080511941520283!,great-devious-beetle,0.530000,-1.164136,-1.592765,0.330257,-1.463192,-2.086655,-2.060003,-2.221789,-0.501480,8.028950,-5.637163
237080511941520283!,great-devious-beetle,0.540000,-1.184357,-1.612968,0.308613,-1.467909,-2.011574,-2.001363,-2.161868,-0.454510,6.661705,-5.656861
237080511941520283!,great-devious-beetle,0.550000,-1.203852,-1.632586,0.287547,-1.472181,-1.941057,-1.944465,-2.105950,-0.411335,5.456730,-5.654354
237080511941520283!,great-devious-beetle,0.560000,-1.222663,-1.651637,0.267024,-1.476041,-1.874620,-1.889352,-2.053536,-0.371496,4.386104,-5.636666
237080511941520283!,great-devious-beetle,0.570000,-1.240833,-1.670142,0.247005,-1.479523,-1.811856,-1.836027,-2.004216,-0.334603,3.428405,-5.608632
237080511941520283!,great-devious-beetle,0.580000,-1.258411,-1.688126,0.227450,-1.482655,-1.752420,-1.784472,-1.957654,-0.300318,2.567751,-5.573427
237080511941520283!,great-devious-beetle,0.590000,-1.275425,-1.705606,0.208332,-1.485462,-1.695992,-1.734641,-1.913541,-0.268369,1.788370,-5.533990
237080511941520283!,great-devious-beetle,0.600000,-1.291903,-1.722599,0.189632,-1.487965,-1.642301,-1.686475,-1.871616,-0.238526,1.077999,-5.492207
237080511941520283!,great-devious-beetle,0.610000,-1.307870,-1.739121,0.171329,-1.490183,-1.591112,-1.639912,-1.831656,-0.210589,0.426800,-5.449332
237080511941520283!,great-devious-beetle,0.620000,-1.323347,-1.755190,0.153406,-1.492135,-1.542217,-1.594884,-1.793470,-0.184387,-0.173276,-5.406217
237080511941520283!,great-devious-beetle,0.630000,-1.338357,-1.770818,0.135848,-1.493836,-1.495437,-1.551326,-1.756891,-0.159770,-0.728899,-5.363440
237080511941520283!,great-devious-beetle,0.640000,-1.352919,-1.786021,0.118639,-1.495301,-1.450612,-1.509174,-1.721776,-0.136607,-1.245641,-5.321395
237080511941520283!,great-devious-beetle,0.650000,-1.367050,-1.800812,0.101766,-1.496544,-1.407602,-1.468367,-1.687999,-0.114785,-1.728190,-5.280343
237080511941520283!,great-devious-beetle,0.660000,-1.380768,-1.815205,0.085217,-1.497577,-1.366281,-1.428846,-1.655452,-0.094201,-2.180513,-5.240449
237080511941520283!,great-devious-beetle,0.670000,-1.394088,-1.829212,0.068981,-1.498413,-1.326538,-1.390555,-1.624038,-0.074765,-2.605984,-5.201813
237080511941520283!,great-devious-beetle,0.680000,-1.407025,-1.842844,0.053048,-1.499062,-1.288274,-1.353443,-1.593671,-0.056396,-3.007486,-5.164487
237080511941520283!,great-devious-beetle,0.690000,-1.419593,-1.856114,0.037408,-1.499533,-1.251399,-1.317460,-1.564278,-0.039023,-3.387494,-5.128491
237080511941520283!,great-devious-beetle,0.700000,-1.431804,-1.869031,0.022052,-1.499838,-1.215832,-1.282559,-1.535792,-0.022580,-3.748143,-5.093819
237080511941520283!,great-devious-beetle,0.710000,-1.443671,-1.881608,0.006971,-1.499984,-1.181499,-1.248697,-1.508153,-0.007009,-4.091280,-5.060451
237080511941520283!,great-devious-beetle,0.720000,-1.455206,-1.893853,-0.007842,-1.499980,-1.148336,-1.215832,-1.481309,0.007744,-4.418514,-5.028354
237080511941520283!,great-devious-beetle,0.730000,-1.466420,-1.905777,-0.022394,-1.499833,-1.116280,-1.183927,-1.455213,0.021728,-4.731247,-4.997490
237080511941520283!,great-devious-beetle,0.740000,-1.477323,-1.917388,-0.036694,-1.499551,-1.085277,-1.152944,-1.429823,0.034988,-5.030708,-4.967815
237080511941520283!,great-devious-beetle,0.750000,-1.487925,-1.928697,-0.050747,-1.499141,-1.055277,-1.122850,-1.405099,0.047563,-5.317978,-4.939285
237080511941520283!,great-devious-beetle,0.760000,-1.498236,-1.939710,-0.064559,-1.498610,-1.026232,-1.093611,-1.381008,0.059493,-5.594012,-4.911853
237080511941520283!,great-devious-beetle,0.770000,-1.508265,-1.950438,-0.078137,-1.497963,-0.998099,-1.065199,-1.357518,0.070811,-5.859655,-4.885472
237080511941520283!,great-devious-beetle,0.780000,-1.518021,-1.960887,-0.091486,-1.497207,-0.970839,-1.037582,-1.334601,0.081550,-6.115659,-4.860096
237080511941520283!,great-devious-beetle,0.790000,-1.527511,-1.971066,-0.104612,-1.496348,-0.944414,-1.010735,-1.312230,0.091740,-6.362695,-4.835681
237080511941520283!,great-devious-beetle,0.800000,-1.536745,-1.980982,-0.117520,-1.495389,-0.918790,-0.984630,-1.290382,0.101409,-6.601363,-4.812183
237080511941520283!,great-devious-beetle,0.810000,-1.545729,-1.990642,-0.130215,-1.494337,-0.893935,-0.959244,-1.269035,0.110582,-6.832201,-4.789561
237080511941520283!,great-devious-beetle,0.820000,-1.554471,-2.000054,-0.142701,-1.493197,-0.869818,-0.934553,-1.248169,0.119284,-7.055696,-4.767775
237080511941520283!,great-devious-beetle,0.830000,-1.562979,-2.009223,-0.154983,-1.491972,-0.846411,-0.910534,-1.227765,0.127538,-7.272286,-4.746786
237080511941520283!,great-devious-beetle,0.840000,-1.571258,-2.018158,-0.167067,-1.490667,-0.823689,-0.887166,-1.207807,0.135365,-7.482368,-4.726557
237080511941520283!,great-devious-beetle,0.850000,-1.579316,-2.026863,-0.178955,-1.489287,-0.801624,-0.864428,-1.188277,0.142785,-7.686304,-4.707053
237080511941520283!,great-devious-beetle,0.860000,-1.587159,-2.035346,-0.190652,-1.487835,-0.780195,-0.842301,-1.169162,0.149817,-7.884423,-4.688240
237080511941520283!,great-devious-beetle,0.870000,-1.594793,-2.043611,-0.202162,-1.486314,-0.759378,-0.820767,-1.150448,0.156479,-8.077027,-4.670088
237080511941520283!,great-devious-beetle,0.880000,-1.602224,-2.051666,-0.213489,-1.484730,-0.739152,-0.799806,-1.132121,0.162788,-8.264392,-4.652564
237080511941520283!,great-devious-beetle,0.890000,-1.609457,-2.059515,-0.224637,-1.483084,-0.719498,-0.779403,-1.114170,0.168759,-8.446771,-4.635641
237080511941520283!,great-devious-beetle,0.900000,-1.616499,-2.067164,-0.235609,-1.481381,-0.700395,-0.759540,-1.096583,0.174408,-8.624399,-4.619290
