ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
126044063727980192!,great-impartial-bumblebee,0.000000,-2.104684,-0.003336,0.000000,-0.003336,0.000000,0.000000,0.000000,0.000000,15.708469,-53.606070,-36.343110
126044063727980192!,great-impartial-bumblebee,0.010000,-2.098113,-0.003405,0.000000,-0.003405,1.314285,-0.013864,0.000000,-0.013864,13.228045,-47.887491,-30.085208
126044063727980192!,great-impartial-bumblebee,0.020000,-2.079237,-0.003604,0.000000,-0.003604,2.458569,-0.025935,0.000000,-0.025935,11.007769,-42.768675,-24.483634
126044063727980192!,great-impartial-bumblebee,0.030000,-2.049655,-0.003916,0.000000,-0.003916,3.450682,-0.036400,0.000000,-0.036400,9.021770,-38.189985,-19.473125
126044063727980192!,great-impartial-bumblebee,0.040000,-2.010799,-0.004326,0.000000,-0.004326,4.306680,-0.045430,0.000000,-0.045430,7.246731,-34.097658,-14.994849
126044063727980192!,great-impartial-bumblebee,0.050000,-1.963954,-0.004820,0.000000,-0.004820,5.041022,-0.053176,0.000000,-0.053176,5.661624,-30.443216,-10.995754
126044063727980192!,great-impartial-bumblebee,0.060000,-1.910270,-0.005387,0.000000,-0.005387,5.666725,-0.059776,0.000000,-0.059776,4.247488,-27.182946,-7.428006
126044063727980192!,great-impartial-bumblebee,0.070000,-1.850777,-0.006014,0.000000,-0.006014,6.195508,-0.065354,0.000000,-0.065354,2.987229,-24.277438,-4.248478
126044063727980192!,great-impartial-bumblebee,0.080000,-1.786397,-0.006693,0.000000,-0.006693,6.637915,-0.070021,0.000000,-0.070021,1.865438,-21.691166,-1.418294
126044063727980192!,great-impartial-bumblebee,0.090000,-1.717952,-0.007415,0.000000,-0.007415,7.003439,-0.073877,0.000000,-0.073877,0.868226,-19.392107,1.097591
126044063727980192!,great-impartial-bumblebee,0.100000,-1.646180,-0.008172,0.000000,-0.008172,7.300616,-0.077012,0.000000,-0.077012,-0.016929,-17.351395,3.330763
126044063727980192!,great-impartial-bumblebee,0.110000,-1.571738,-0.008958,0.000000,-0.008958,7.537128,-0.079507,0.000000,-0.079507,-0.801312,-15.543013,5.309695
126044063727980192!,great-impartial-bumblebee,0.120000,-1.495213,-0.009765,0.000000,-0.009765,7.719880,-0.081435,0.000000,-0.081435,-1.495083,-13.943533,7.060022
126044063727980192!,great-impartial-bumblebee,0.130000,-1.417135,-0.010589,0.000000,-0.010589,7.855083,-0.082861,0.000000,-0.082861,-2.107377,-12.531897,8.604790
126044063727980192!,great-impartial-bumblebee,0.140000,-1.337960,-0.011424,0.000000,-0.011424,7.948321,-0.083844,0.000000,-0.083844,-2.646501,-11.288956,9.964954
126044063727980192!,great-impartial-bumblebee,0.150000,-1.258090,-0.012266,0.000000,-0.012266,8.004609,-0.084438,0.000000,-0.084438,-3.119952,-10.197421,11.159432
126044063727980192!,great-impartial-bumblebee,0.160000,-1.177876,-0.013112,0.000000,-0.013112,8.028448,-0.084690,0.000000,-0.084690,-3.534499,-9.241689,12.205299
126044063727980192!,great-impartial-bumblebee,0.170000,-1.097624,-0.013959,0.000000,-0.013959,8.023876,-0.084641,0.000000,-0.084641,-3.896251,-8.407674,13.117971
126044063727980192!,great-impartial-bumblebee,0.180000,-1.017603,-0.014803,0.000000,-0.014803,7.994509,-0.084331,0.000000,-0.084331,-4.210723,-7.682663,13.911358
126044063727980192!,great-impartial-bumblebee,0.190000,-0.938040,-0.015642,0.000000,-0.015642,7.943590,-0.083794,0.000000,-0.083794,-4.482901,-7.055162,14.598039
126044063727980192!,great-impartial-bumblebee,0.200000,-0.859126,-0.016475,0.000000,-0.016475,7.874017,-0.083060,0.000000,-0.083060,-4.717307,-6.514742,15.189426
126044063727980192!,great-impartial-bumblebee,0.210000,-0.781029,-0.017299,0.000000,-0.017299,7.788378,-0.082157,0.000000,-0.082157,-4.917995,-6.052059,15.695745
126044063727980192!,great-impartial-bumblebee,0.220000,-0.703892,-0.018112,0.000000,-0.018112,7.688984,-0.081109,0.000000,-0.081109,-5.088611,-5.658708,16.126194
126044063727980192!,great-impartial-bumblebee,0.230000,-0.627838,-0.018915,0.000000,-0.018915,7.577897,-0.079937,0.000000,-0.079937,-5.232431,-5.327131,16.489042
126044063727980192!,great-impartial-bumblebee,0.240000,-0.552970,-0.019704,0.000000,-0.019704,7.456953,-0.078661,0.000000,-0.078661,-5.352405,-5.050534,16.791724
126044063727980192!,great-impartial-bumblebee,0.250000,-0.479374,-0.020481,0.000000,-0.020481,7.327786,-0.077298,0.000000,-0.077298,-5.451179,-4.822811,17.040924
126044063727980192!,great-impartial-bumblebee,0.260000,-0.407122,-0.021243,0.000000,-0.021243,7.191850,-0.075864,0.000000,-0.075864,-5.531135,-4.638475,17.242645
126044063727980192!,great-impartial-bumblebee,0.270000,-0.336271,-0.021990,0.000000,-0.021990,7.050433,-0.074373,0.000000,-0.074373,-5.594409,-4.492596,17.402281
126044063727980192!,great-impartial-bumblebee,0.280000,-0.266867,-0.022722,0.000000,-0.022722,6.904680,-0.072835,0.000000,-0.072835,-5.642921,-4.380752,17.524674
126044063727980192!,great-impartial-bumblebee,0.290000,-0.198946,-0.023439,0.000000,-0.023439,6.755602,-0.071263,0.000000,-0.071263,-5.678394,-4.298971,17.614168
126044063727980192!,great-impartial-bumblebee,0.300000,-0.132534,-0.024139,0.000000,-0.024139,6.604093,-0.069664,0.000000,-0.069664,-5.702371,-4.243691,17.674661
126044063727980192!,great-impartial-bumblebee,0.310000,-0.067649,-0.024824,0.000000,-0.024824,6.450941,-0.068049,0.000000,-0.068049,-5.716239,-4.211719,17.709648
126044063727980192!,great-impartial-bumblebee,0.320000,-0.004302,-0.025492,0.000000,-0.025492,6.296838,-0.066423,0.000000,-0.066423,-5.721238,-4.200195,17.722260
126044063727980192!,great-impartial-bumblebee,0.330000,0.057501,-0.026144,0.000000,-0.026144,6.142392,-0.064794,0.000000,-0.064794,-5.718479,-4.206555,17.715299
126044063727980192!,great-impartial-bumblebee,0.340000,0.117763,-0.026780,0.000000,-0.026780,5.988136,-0.063167,0.000000,-0.063167,-5.708957,-4.228508,17.691276
126044063727980192!,great-impartial-bumblebee,0.350000,0.176488,-0.027399,0.000000,-0.027399,5.834532,-0.061547,0.000000,-0.061547,-5.693561,-4.264003,17.652434
126044063727980192!,great-impartial-bumblebee,0.360000,0.233685,-0.028003,0.000000,-0.028003,5.681983,-0.059937,0.000000,-0.059937,-5.673086,-4.311207,17.600778
126044063727980192!,great-impartial-bumblebee,0.370000,0.289369,-0.028590,0.000000,-0.028590,5.530838,-0.058343,0.000000,-0.058343,-5.648242,-4.368485,17.538098
126044063727980192!,great-impartial-bumblebee,0.380000,0.343555,-0.029162,0.000000,-0.029162,5.381395,-0.056767,0.000000,-0.056767,-5.619661,-4.434377,17.465991
126044063727980192!,great-impartial-bumblebee,0.390000,0.396262,-0.029718,0.000000,-0.029718,5.233911,-0.055211,0.000000,-0.055211,-5.587908,-4.507583,17.385881
126044063727980192!,great-impartial-bumblebee,0.400000,0.447511,-0.030258,0.000000,-0.030258,5.088604,-0.053678,0.000000,-0.053678,-5.553486,-4.586945,17.299035
126044063727980192!,great-impartial-bumblebee,0.410000,0.497325,-0.030784,0.000000,-0.030784,4.945655,-0.052170,0.000000,-0.052170,-5.516839,-4.671432,17.206579
126044063727980192!,great-impartial-bumblebee,0.420000,0.545736,-0.031294,0.000000,-0.031294,4.805219,-0.050689,0.000000,-0.050689,-5.478403,-4.760046,17.109608
126044063727980192!,great-impartial-bumblebee,0.430000,0.592778,-0.031791,0.000000,-0.031791,4.667416,-0.049235,0.000000,-0.049235,-5.438561,-4.851901,17.009090
126044063727980192!,great-impartial-bumblebee,0.440000,0.638478,-0.032273,0.000000,-0.032273,4.532345,-0.047810,0.000000,-0.047810,-5.397617,-4.946296,16.905793
126044063727980192!,great-impartial-bumblebee,0.450000,0.682864,-0.032741,0.000000,-0.032741,4.400079,-0.046415,0.000000,-0.046415,-5.355841,-5.042612,16.800394
126044063727980192!,great-impartial-bumblebee,0.460000,0.725963,-0.033195,0.000000,-0.033195,4.270677,-0.045050,0.000000,-0.045050,-5.313468,-5.140302,16.693490
126044063727980192!,great-impartial-bumblebee,0.470000,0.767805,-0.033637,0.000000,-0.033637,4.144179,-0.043716,0.000000,-0.043716,-5.270706,-5.238889,16.585606
126044063727980192!,great-impartial-bumblebee,0.480000,0.808418,-0.034065,0.000000,-0.034065,4.020611,-0.042412,0.000000,-0.042412,-5.227738,-5.337951,16.477201
126044063727980192!,great-impartial-bumblebee,0.490000,0.847832,-0.034481,0.000000,-0.034481,3.899989,-0.041140,0.000000,-0.041140,-5.184723,-5.437122,16.368677
126044063727980192!,great-impartial-bumblebee,0.500000,0.886073,-0.034884,0.000000,-0.034884,3.782314,-0.039898,0.000000,-0.039898,-5.141799,-5.536081,16.260385
126044063727980192!,great-impartial-bumblebee,0.510000,0.923172,-0.035276,0.000000,-0.035276,3.667582,-0.038688,0.000000,-0.038688,-5.099088,-5.634552,16.152628
126044063727980192!,great-impartial-bumblebee,0.520000,0.959157,-0.035655,0.000000,-0.035655,3.555777,-0.037509,0.000000,-0.037509,-5.056693,-5.732292,16.045669
126044063727980192!,great-impartial-bumblebee,0.530000,0.994057,-0.036023,0.000000,-0.036023,3.446877,-0.036360,0.000000,-0.036360,-5.014704,-5.829097,15.939735
126044063727980192!,great-impartial-bumblebee,0.540000,1.027897,-0.036380,0.000000,-0.036380,3.340855,-0.035242,0.000000,-0.035242,-4.973198,-5.924788,15.835019
126044063727980192!,great-impartial-bumblebee,0.550000,1.060708,-0.036727,0.000000,-0.036727,3.237678,-0.034153,0.000000,-0.034153,-4.932240,-6.019216,15.731685
126044063727980192!,great-impartial-bumblebee,0.560000,1.092515,-0.037062,0.000000,-0.037062,3.137308,-0.033094,0.000000,-0.033094,-4.891885,-6.112254,15.629872
126044063727980192!,great-impartial-bumblebee,0.570000,1.123345,-0.037387,0.000000,-0.037387,3.039704,-0.032065,0.000000,-0.032065,-4.852179,-6.203797,15.529697
126044063727980192!,great-impartial-bumblebee,0.580000,1.153224,-0.037702,0.000000,-0.037702,2.944822,-0.031064,0.000000,-0.031064,-4.813159,-6.293756,15.431253
126044063727980192!,great-impartial-bumblebee,0.590000,1.182178,-0.038008,0.000000,-0.038008,2.852613,-0.030091,0.000000,-0.030091,-4.774857,-6.382062,15.334619
126044063727980192!,great-impartial-bumblebee,0.600000,1.210232,-0.038304,0.000000,-0.038304,2.763030,-0.029146,0.000000,-0.029146,-4.737296,-6.468658,15.239856
126044063727980192!,great-impartial-bumblebee,0.610000,1.237411,-0.038591,0.000000,-0.038591,2.676021,-0.028228,0.000000,-0.028228,-4.700495,-6.553501,15.147012
126044063727980192!,great-impartial-bumblebee,0.620000,1.263739,-0.038868,0.000000,-0.038868,2.591534,-0.027337,0.000000,-0.027337,-4.664469,-6.636560,15.056120
126044063727980192!,great-impartial-bumblebee,0.630000,1.289239,-0.039137,0.000000,-0.039137,2.509516,-0.026472,0.000000,-0.026472,-4.629226,-6.717811,14.967205
126044063727980192!,great-impartial-bumblebee,0.640000,1.313934,-0.039398,0.000000,-0.039398,2.429914,-0.025632,0.000000,-0.025632,-4.594773,-6.797243,14.880282
126044063727980192!,great-impartial-bumblebee,0.650000,1.337846,-0.039650,0.000000,-0.039650,2.352673,-0.024818,0.000000,-0.024818,-4.561112,-6.874849,14.795358
126044063727980192!,great-impartial-bumblebee,0.660000,1.360998,-0.039894,0.000000,-0.039894,2.277739,-0.024027,0.000000,-0.024027,-4.528241,-6.950630,14.712429
126044063727980192!,great-impartial-bumblebee,0.670000,1.383411,-0.040131,0.000000,-0.040131,2.205058,-0.023260,0.000000,-0.023260,-4.496159,-7.024595,14.631488
126044063727980192!,great-impartial-bumblebee,0.680000,1.405104,-0.040360,0.000000,-0.040360,2.134576,-0.022517,0.000000,-0.022517,-4.464860,-7.096755,14.552523
126044063727980192!,great-impartial-bumblebee,0.690000,1.426100,-0.040581,0.000000,-0.040581,2.066239,-0.021796,0.000000,-0.021796,-4.434337,-7.167126,14.475516
126044063727980192!,great-impartial-bumblebee,0.700000,1.446416,-0.040795,0.000000,-0.040795,1.999994,-0.021097,0.000000,-0.021097,-4.404581,-7.235727,14.400445
126044063727980192!,great-impartial-bumblebee,0.710000,1.466073,-0.041003,0.000000,-0.041003,1.935789,-0.020420,0.000000,-0.020420,-4.375584,-7.302580,14.327286
126044063727980192!,great-impartial-bumblebee,0.720000,1.485088,-0.041203,0.000000,-0.041203,1.873570,-0.019764,0.000000,-0.019764,-4.347333,-7.367712,14.256012
126044063727980192!,great-impartial-bumblebee,0.730000,1.503481,-0.041397,0.000000,-0.041397,1.813288,-0.019128,0.000000,-0.019128,-4.319818,-7.431148,14.186593
126044063727980192!,great-impartial-bumblebee,0.740000,1.521268,-0.041585,0.000000,-0.041585,1.754892,-0.018512,0.000000,-0.018512,-4.293025,-7.492918,14.118997
126044063727980192!,great-impartial-bumblebee,0.750000,1.538468,-0.041766,0.000000,-0.041766,1.698332,-0.017915,0.000000,-0.017915,-4.266942,-7.553053,14.053192
126044063727980192!,great-impartial-bumblebee,0.760000,1.555095,-0.041942,0.000000,-0.041942,1.643560,-0.017337,0.000000,-0.017337,-4.241555,-7.611582,13.989143
126044063727980192!,great-impartial-bumblebee,0.770000,1.571168,-0.042111,0.000000,-0.042111,1.590528,-0.016778,0.000000,-0.016778,-4.216850,-7.668539,13.926814
126044063727980192!,great-impartial-bumblebee,0.780000,1.586701,-0.042275,0.000000,-0.042275,1.539188,-0.016236,0.000000,-0.016236,-4.192813,-7.723955,13.866172
126044063727980192!,great-impartial-bumblebee,0.790000,1.601720,-0.042434,0.000000,-0.042434,1.489497,-0.015712,0.000000,-0.015712,-4.169475,-7.777762,13.807291
126044063727980192!,great-impartial-bumblebee,0.800000,1.616252,-0.042587,0.000000,-0.042587,1.441405,-0.015205,0.000000,-0.015205,-4.146872,-7.829872,13.750265
126044063727980192!,great-impartial-bumblebee,0.810000,1.630311,-0.042735,0.000000,-0.042735,1.394862,-0.014714,0.000000,-0.014714,-4.124974,-7.880358,13.695018
126044063727980192!,great-impartial-bumblebee,0.820000,1.643910,-0.042879,0.000000,-0.042879,1.349819,-0.014239,0.000000,-0.014239,-4.103751,-7.929287,13.641475
126044063727980192!,great-impartial-bumblebee,0.830000,1.657062,-0.043017,0.000000,-0.043017,1.306232,-0.013779,0.000000,-0.013779,-4.083176,-7.976722,13.589566
126044063727980192!,great-impartial-bumblebee,0.840000,1.669779,-0.043151,0.000000,-0.043151,1.264054,-0.013334,0.000000,-0.013334,-4.063224,-8.022721,13.539229
126044063727980192!,great-impartial-bumblebee,0.850000,1.682073,-0.043281,0.000000,-0.043281,1.223244,-0.012904,0.000000,-0.012904,-4.043871,-8.067340,13.490402
126044063727980192!,great-impartial-bumblebee,0.860000,1.693957,-0.043407,0.000000,-0.043407,1.183761,-0.012487,0.000000,-0.012487,-4.025094,-8.110630,13.443029
126044063727980192!,great-impartial-bumblebee,0.870000,1.705440,-0.043528,0.000000,-0.043528,1.145564,-0.012084,0.000000,-0.012084,-4.006872,-8.152640,13.397057
126044063727980192!,great-impartial-bumblebee,0.880000,1.716552,-0.043645,0.000000,-0.043645,1.108616,-0.011694,0.000000,-0.011694,-3.989262,-8.193239,13.352629
126044063727980192!,great-impartial-bumblebee,0.890000,1.727305,-0.043758,0.000000,-0.043758,1.072875,-0.011317,0.000000,-0.011317,-3.972247,-8.232467,13.309702
126044063727980192!,great-impartial-bumblebee,0.900000,1.737711,-0.043868,0.000000,-0.043868,1.038300,-0.010953,0.000000,-0.010953,-3.955806,-8.270373,13.268221
126044063727980192!,great-impartial-bumblebee,0.910000,1.747781,-0.043974,0.000000,-0.043974,1.004853,-0.010600,0.000000,-0.010600,-3.939916,-8.307006,13.228132
126044063727980192!,great-impartial-bumblebee,0.920000,1.757527,-0.044077,0.000000,-0.044077,0.972494,-0.010259,0.000000,-0.010259,-3.924558,-8.342413,13.189387
126044063727980192!,great-impartial-bumblebee,0.930000,1.766958,-0.044177,0.000000,-0.044177,0.941187,-0.009928,0.000000,-0.009928,-3.909714,-8.376637,13.151935
126044063727980192!,great-impartial-bumblebee,0.940000,1.776086,-0.044273,0.000000,-0.044273,0.910899,-0.009609,0.000000,-0.009609,-3.895364,-8.409721,13.115731
