ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
248077201549996372!,great-mauve-beetle,0.000000,0.710217,-1.364609,1.497429,-0.087779,0.000000,0.000000,0.000000,0.000000,-165.659256,-638.856054,610.946224
248077201549996372!,great-mauve-beetle,0.010000,0.718573,-1.359310,1.497986,-0.077704,1.668814,1.061267,0.104401,2.012670,-123.516822,-416.779435,444.265715
248077201549996372!,great-mauve-beetle,0.020000,0.739826,-1.343990,1.499154,-0.050382,2.576593,2.005246,0.115931,3.449616,-96.813115,-286.287348,340.581754
248077201549996372!,great-mauve-beetle,0.030000,0.767955,-1.319759,1.499963,-0.010498,3.040273,2.841086,0.031658,4.523204,-78.857798,-207.577558,272.573324
248077201549996372!,great-mauve-beetle,0.040000,0.799418,-1.287724,1.499496,0.038885,3.241348,3.568431,-0.138793,5.352198,-66.100101,-158.755788,225.594725
248077201549996372!,great-mauve-beetle,0.050000,0.832109,-1.248934,1.496945,0.095683,3.285923,4.190102,-0.383804,6.004574,-56.539696,-127.414002,191.381328
248077201549996372!,great-mauve-beetle,0.060000,0.864775,-1.204409,1.491620,0.158333,3.237607,4.712324,-0.692078,6.519931,-49.007887,-106.371597,165.117511
248077201549996372!,great-mauve-beetle,0.070000,0.896684,-1.155107,1.482941,0.225582,3.135014,5.143385,-1.052905,6.921625,-42.810204,-91.451840,143.958760
248077201549996372!,great-mauve-beetle,0.080000,0.927413,-1.101896,1.470431,0.296364,3.002064,5.492475,-1.455939,7.223754,-37.525194,-80.195570,126.193110
248077201549996372!,great-mauve-beetle,0.090000,0.956739,-1.045554,1.453721,0.369723,2.853927,5.769027,-1.890995,7.435230,-32.888826,-71.122410,110.759444
248077201549996372!,great-mauve-beetle,0.100000,0.984564,-0.986762,1.432539,0.444782,2.700401,5.982373,-2.347937,7.562157,-28.728257,-63.313179,96.972552
248077201549996372!,great-mauve-beetle,0.110000,1.010870,-0.926111,1.406719,0.520714,2.547817,6.141540,-2.816657,7.609251,-24.924023,-56.175633,84.366991
248077201549996372!,great-mauve-beetle,0.120000,1.035690,-0.864105,1.376192,0.596737,2.400139,6.255090,-3.287104,7.580707,-21.388692,-49.313881,72.609211
248077201549996372!,great-mauve-beetle,0.130000,1.059091,-0.801162,1.340995,0.672110,2.259610,6.330950,-3.749366,7.480743,-18.055029,-42.455944,61.448851
248077201549996372!,great-mauve-beetle,0.140000,1.081151,-0.737626,1.301261,0.746136,2.127178,6.376255,-4.193776,7.313942,-14.869682,-35.413870,50.692518
248077201549996372!,great-mauve-beetle,0.150000,1.101938,-0.673775,1.257221,0.818166,2.002857,6.397112,-4.611049,7.085497,-11.791338,-28.067312,40.195217
248077201549996372!,great-mauve-beetle,0.160000,1.121483,-0.609822,1.209192,0.887612,1.886073,6.398406,-4.992523,6.801307,-8.790085,-20.354052,29.856680
248077201549996372!,great-mauve-beetle,0.170000,1.139860,-0.545937,1.157567,0.953959,1.775681,6.384114,-5.330324,6.468004,-5.840927,-12.238993,19.596315
248077201549996372!,great-mauve-beetle,0.180000,1.157133,-0.482258,1.102816,1.016758,1.670289,6.357025,-5.617489,6.092949,-2.927884,-3.729109,9.368156
248077201549996372!,great-mauve-beetle,0.190000,1.173350,-0.418904,1.045471,1.075635,1.568505,6.318765,-5.848165,5.684163,-0.044200,5.128675,-0.838912
248077201549996372!,great-mauve-beetle,0.200000,1.188545,-0.355982,0.986119,1.130296,1.469175,6.269895,-6.017807,5.250191,2.807504,14.249353,-11.001064
248077201549996372!,great-mauve-beetle,0.210000,1.202745,-0.293600,0.925386,1.180534,1.371581,6.210081,-6.123346,4.799907,5.615326,23.512398,-21.060292
248077201549996372!,great-mauve-beetle,0.220000,1.215973,-0.231872,0.863922,1.226230,1.275556,6.138342,-6.163310,4.342268,8.358835,32.766397,-30.927524
248077201549996372!,great-mauve-beetle,0.230000,1.228253,-0.170926,0.802386,1.267350,1.181611,6.053315,-6.137911,3.886041,11.009420,41.833298,-40.484430
248077201549996372!,great-mauve-beetle,0.240000,1.239607,-0.110906,0.741428,1.303950,1.090976,5.953561,-6.049068,3.439508,13.531456,50.516052,-49.588355
248077201549996372!,great-mauve-beetle,0.250000,1.250090,-0.051970,0.681674,1.336159,1.005322,5.837903,-5.900282,3.010170,15.885934,58.611533,-58.085465
248077201549996372!,great-mauve-beetle,0.260000,1.259767,0.005712,0.623711,1.364179,0.926785,5.705636,-5.696538,2.604494,18.031189,65.918200,-65.814381
248077201549996372!,great-mauve-beetle,0.270000,1.268725,0.061961,0.568076,1.388269,0.857681,5.556737,-5.444077,2.227703,19.926305,72.249423,-72.618751
248077201549996372!,great-mauve-beetle,0.280000,1.277079,0.116602,0.515240,1.408733,0.800262,5.391973,-5.150112,1.883637,21.534036,77.445253,-78.358129
248077201549996372!,great-mauve-beetle,0.290000,1.284962,0.169465,0.465602,1.425909,0.756473,5.212908,-4.822522,1.574697,22.823625,81.382954,-82.918303
248077201549996372!,great-mauve-beetle,0.300000,1.292529,0.220399,0.419484,1.440150,0.727745,5.021835,-4.469508,1.301870,23.773249,83.985278,-86.220099
248077201549996372!,great-mauve-beetle,0.310000,1.299920,0.269319,0.377066,1.451834,0.714947,4.821636,-4.099169,1.064625,24.374308,85.241510,-88.236043
248077201549996372!,great-mauve-beetle,0.320000,1.307237,0.316248,0.338343,1.461343,0.718280,4.615574,-3.719025,0.861061,24.634786,85.219454,-89.002581
248077201549996372!,great-mauve-beetle,0.330000,1.314641,0.361141,0.303380,1.469000,0.736916,4.406888,-3.336132,0.688982,24.567541,83.987204,-88.570630
248077201549996372!,great-mauve-beetle,0.340000,1.322280,0.403986,0.272177,1.475100,0.769436,4.198741,-2.956825,0.545578,24.195240,81.651595,-87.027460
248077201549996372!,great-mauve-beetle,0.350000,1.330286,0.444799,0.244677,1.479910,0.813937,3.994064,-2.586588,0.427648,23.548905,78.350329,-84.490892
248077201549996372!,great-mauve-beetle,0.360000,1.338769,0.483624,0.220771,1.483664,0.868181,3.795422,-2.229983,0.331824,22.665958,74.242706,-81.101770
248077201549996372!,great-mauve-beetle,0.370000,1.347816,0.520529,0.200308,1.486565,0.929738,3.604938,-1.890634,0.254755,21.587989,69.499877,-77.015514
248077201549996372!,great-mauve-beetle,0.380000,1.357490,0.555601,0.183108,1.488782,0.996143,3.424242,-1.571250,0.193251,20.358462,64.295424,-72.393544
248077201549996372!,great-mauve-beetle,0.390000,1.367829,0.588939,0.168966,1.490453,1.065020,3.254469,-1.273679,0.144391,19.020551,58.796969,-67.395298
