ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
2185547304211935626!,great-proficient-bumblebee,0.000000,2.047652,-1.165329,0.000000,-1.165329,0.000000,0.000000,0.000000,0.000000,87.291871,56.949842,-31.485360,-68.204014
2185547304211935626!,great-proficient-bumblebee,0.010000,2.040928,-1.165688,0.000000,-1.165688,-1.344871,-0.071774,0.000000,-0.071774,76.132535,49.170253,-28.103887,-59.492090
2185547304211935626!,great-proficient-bumblebee,0.020000,2.021613,-1.166719,0.000000,-1.166719,-2.515786,-0.134265,0.000000,-0.134265,66.143590,42.206586,-25.077063,-51.693871
2185547304211935626!,great-proficient-bumblebee,0.030000,1.991342,-1.168334,0.000000,-1.168334,-3.530987,-0.188445,0.000000,-0.188445,57.208654,35.977710,-22.369622,-44.718503
2185547304211935626!,great-proficient-bumblebee,0.040000,1.951582,-1.170456,0.000000,-1.170456,-4.406906,-0.235192,0.000000,-0.235192,49.222817,30.410485,-19.949775,-38.484081
2185547304211935626!,great-proficient-bumblebee,0.050000,1.903647,-1.173015,0.000000,-1.173015,-5.158338,-0.275295,0.000000,-0.275295,42.091475,25.438961,-17.788854,-32.916750
2185547304211935626!,great-proficient-bumblebee,0.060000,1.848714,-1.175946,0.000000,-1.175946,-5.798602,-0.309465,0.000000,-0.309465,35.729327,21.003670,-15.861013,-27.949918
2185547304211935626!,great-proficient-bumblebee,0.070000,1.787858,-1.179194,0.000000,-1.179194,-6.339691,-0.338342,0.000000,-0.338342,30.059895,17.051298,-14.143076,-23.523879
2185547304211935626!,great-proficient-bumblebee,0.080000,1.722067,-1.182705,0.000000,-1.182705,-6.792401,-0.362503,0.000000,-0.362503,25.014727,13.534122,-12.614303,-19.585192
2185547304211935626!,great-proficient-bumblebee,0.090000,1.652184,-1.186435,0.000000,-1.186435,-7.166464,-0.382466,0.000000,-0.382466,20.531155,10.408457,-11.255702,-16.084935
2185547304211935626!,great-proficient-bumblebee,0.100000,1.578947,-1.190344,0.000000,-1.190344,-7.470636,-0.398700,0.000000,-0.398700,16.552401,7.634720,-10.050071,-12.978782
2185547304211935626!,great-proficient-bumblebee,0.110000,1.503004,-1.194396,0.000000,-1.194396,-7.712784,-0.411623,0.000000,-0.411623,13.027130,5.177122,-8.981853,-10.226657
2185547304211935626!,great-proficient-bumblebee,0.120000,1.424931,-1.198563,0.000000,-1.198563,-7.899979,-0.421613,0.000000,-0.421613,9.909044,3.003388,-8.037018,-7.792415
2185547304211935626!,great-proficient-bumblebee,0.130000,1.345237,-1.202816,0.000000,-1.202816,-8.038568,-0.429010,0.000000,-0.429010,7.156451,1.084453,-7.202935,-5.643507
2185547304211935626!,great-proficient-bumblebee,0.140000,1.264372,-1.207132,0.000000,-1.207132,-8.134248,-0.434116,0.000000,-0.434116,4.731829,-0.605842,-6.468232,-3.750641
2185547304211935626!,great-proficient-bumblebee,0.150000,1.182740,-1.211489,0.000000,-1.211489,-8.192131,-0.437205,0.000000,-0.437205,2.601412,-2.091035,-5.822679,-2.087457
2185547304211935626!,great-proficient-bumblebee,0.160000,1.100695,-1.215867,0.000000,-1.215867,-8.216804,-0.438522,0.000000,-0.438522,0.734812,-3.392312,-5.257066,-0.630230
2185547304211935626!,great-proficient-bumblebee,0.170000,1.018549,-1.220251,0.000000,-1.220251,-8.212380,-0.438286,0.000000,-0.438286,-0.895329,-4.528744,-4.763105,0.642396
2185547304211935626!,great-proficient-bumblebee,0.180000,0.936579,-1.224626,0.000000,-1.224626,-8.182545,-0.436694,0.000000,-0.436694,-2.313639,-5.517500,-4.333333,1.749649
2185547304211935626!,great-proficient-bumblebee,0.190000,0.855024,-1.228978,0.000000,-1.228978,-8.130600,-0.433921,0.000000,-0.433921,-3.542294,-6.374041,-3.961029,2.708841
2185547304211935626!,great-proficient-bumblebee,0.200000,0.774096,-1.233298,0.000000,-1.233298,-8.059502,-0.430127,0.000000,-0.430127,-4.601262,-7.112287,-3.640143,3.535561
2185547304211935626!,great-proficient-bumblebee,0.210000,0.693977,-1.237573,0.000000,-1.237573,-7.971897,-0.425451,0.000000,-0.425451,-5.508521,-7.744771,-3.365228,4.243844
2185547304211935626!,great-proficient-bumblebee,0.220000,0.614824,-1.241798,0.000000,-1.241798,-7.870148,-0.420021,0.000000,-0.420021,-6.280257,-8.282777,-3.131379,4.846327
2185547304211935626!,great-proficient-bumblebee,0.230000,0.536773,-1.245963,0.000000,-1.245963,-7.756370,-0.413949,0.000000,-0.413949,-6.931042,-8.736464,-2.934180,5.354385
2185547304211935626!,great-proficient-bumblebee,0.240000,0.459938,-1.250064,0.000000,-1.250064,-7.632447,-0.407335,0.000000,-0.407335,-7.473990,-9.114974,-2.769657,5.778257
2185547304211935626!,great-proficient-bumblebee,0.250000,0.384418,-1.254094,0.000000,-1.254094,-7.500059,-0.400270,0.000000,-0.400270,-7.920906,-9.426535,-2.634233,6.127157
2185547304211935626!,great-proficient-bumblebee,0.260000,0.310294,-1.258050,0.000000,-1.258050,-7.360706,-0.392833,0.000000,-0.392833,-8.282409,-9.678552,-2.524692,6.409377
2185547304211935626!,great-proficient-bumblebee,0.270000,0.237632,-1.261928,0.000000,-1.261928,-7.215717,-0.385095,0.000000,-0.385095,-8.568052,-9.877685,-2.438137,6.632374
2185547304211935626!,great-proficient-bumblebee,0.280000,0.166487,-1.265725,0.000000,-1.265725,-7.066275,-0.377119,0.000000,-0.377119,-8.786427,-10.029922,-2.371966,6.802856
2185547304211935626!,great-proficient-bumblebee,0.290000,0.096902,-1.269439,0.000000,-1.269439,-6.913429,-0.368962,0.000000,-0.368962,-8.945258,-10.140649,-2.323837,6.926853
2185547304211935626!,great-proficient-bumblebee,0.300000,0.028910,-1.273067,0.000000,-1.273067,-6.758107,-0.360673,0.000000,-0.360673,-9.051490,-10.214707,-2.291647,7.009787
2185547304211935626!,great-proficient-bumblebee,0.310000,-0.037493,-1.276611,0.000000,-1.276611,-6.601129,-0.352295,0.000000,-0.352295,-9.111910,-10.256829,-2.273338,7.056956
2185547304211935626!,great-proficient-bumblebee,0.320000,-0.102316,-1.280071,0.000000,-1.280071,-6.443209,-0.343867,0.000000,-0.343867,-9.132553,-10.271219,-2.267083,7.073071
2185547304211935626!,great-proficient-bumblebee,0.330000,-0.165551,-1.283445,0.000000,-1.283445,-6.284967,-0.335422,0.000000,-0.335422,-9.118331,-10.261305,-2.271393,7.061969
