ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
2028707472908300154!,great-vivacious-beetle,0.000000,1.410898,-0.725682,1.287731,0.769252,0.000000,0.000000,0.000000,0.000000,639.796706,243.695814
2028707472908300154!,great-vivacious-beetle,0.010000,1.410239,-0.718387,1.283524,0.776251,-0.131209,1.456247,-0.844156,1.395803,487.918466,167.709089
2028707472908300154!,great-vivacious-beetle,0.020000,1.407279,-0.698343,1.271674,0.795515,-0.463722,2.546529,-1.532337,2.449525,389.899868,122.292597
2028707472908300154!,great-vivacious-beetle,0.030000,1.400560,-0.668650,1.253335,0.824107,-0.885100,3.381020,-2.141640,3.257092,324.195126,94.867521
2028707472908300154!,great-vivacious-beetle,0.040000,1.389489,-0.631528,1.229075,0.859869,-1.330758,4.026885,-2.713209,3.878190,278.120291,78.062947
2028707472908300154!,great-vivacious-beetle,0.050000,1.374000,-0.588646,1.199153,0.901128,-1.764343,4.526683,-3.268968,4.350092,244.204404,67.575680
2028707472908300154!,great-vivacious-beetle,0.060000,1.354316,-0.541320,1.163662,0.946515,-2.166318,4.908298,-3.820011,4.696392,218.105582,60.932686
2028707472908300154!,great-vivacious-beetle,0.070000,1.330814,-0.490635,1.122622,0.994847,-2.526633,5.191108,-4.371172,4.932593,197.284111,56.699888
2028707472908300154!,great-vivacious-beetle,0.080000,1.303954,-0.437514,1.076026,1.045068,-2.840621,5.389639,-4.923563,5.069415,180.222594,54.023819
2028707472908300154!,great-vivacious-beetle,0.090000,1.274221,-0.382741,1.023867,1.096219,-3.106739,5.515722,-5.476073,5.114649,165.974734,52.372659
2028707472908300154!,great-vivacious-beetle,0.100000,1.242109,-0.327005,0.966170,1.147395,-3.325422,5.579740,-6.026093,5.074300,153.916532,51.398407
2028707472908300154!,great-vivacious-beetle,0.110000,1.208090,-0.270878,0.902976,1.197763,-3.498347,5.591305,-6.570139,4.953130,143.594703,50.854879
2028707472908300154!,great-vivacious-beetle,0.120000,1.172618,-0.214836,0.834366,1.246529,-3.628116,5.559620,-7.104009,4.755081,134.651386,50.558700
2028707472908300154!,great-vivacious-beetle,0.130000,1.136111,-0.159264,0.760467,1.292938,-3.718024,5.493632,-7.622889,4.483554,126.779230,50.365042
2028707472908300154!,great-vivacious-beetle,0.140000,1.098953,-0.104458,0.681457,1.336270,-3.771910,5.402057,-8.121386,4.141660,119.697872,50.153479
2028707472908300154!,great-vivacious-beetle,0.150000,1.061472,-0.050640,0.597581,1.375826,-3.794036,5.293315,-8.593479,3.732520,113.146117,49.820760
2028707472908300154!,great-vivacious-beetle,0.160000,1.023892,0.002001,0.509190,1.410931,-3.788838,5.175302,-9.032477,3.259726,106.889986,49.280388
2028707472908300154!,great-vivacious-beetle,0.170000,0.986443,0.053407,0.416652,1.440972,-3.761358,5.055480,-9.431507,2.727084,100.693312,48.446845
2028707472908300154!,great-vivacious-beetle,0.180000,0.949311,0.103593,0.320399,1.465382,-3.717124,4.940619,-9.783324,2.139076,94.330804,47.238523
2028707472908300154!,great-vivacious-beetle,0.190000,0.912631,0.152641,0.220936,1.483640,-3.662156,4.836590,-10.080440,1.501127,87.587981,45.575312
2028707472908300154!,great-vivacious-beetle,0.200000,0.876480,0.200686,0.118842,1.495285,-3.602935,4.748126,-10.315316,0.819842,80.261021,43.377099
2028707472908300154!,great-vivacious-beetle,0.210000,0.840870,0.247904,0.014772,1.499927,-3.546304,4.678553,-10.480626,0.103215,72.156440,40.563214
2028707472908300154!,great-vivacious-beetle,0.220000,0.805746,0.294497,-0.090553,1.497264,-3.499290,4.629519,-10.569572,-0.639237,63.090982,37.053033
2028707472908300154!,great-vivacious-beetle,0.230000,0.770984,0.340674,-0.196343,1.487094,-3.468794,4.600747,-10.576259,-1.396396,52.892472,32.767964
2028707472908300154!,great-vivacious-beetle,0.240000,0.736394,0.386632,-0.301756,1.469334,-3.461175,4.589865,-10.496091,-2.155577,41.402581,27.635152
2028707472908300154!,great-vivacious-beetle,0.250000,0.701726,0.432533,-0.405914,1.444034,-3.481707,4.592365,-10.326189,-2.902662,28.482499,21.593133
2028707472908300154!,great-vivacious-beetle,0.260000,0.666686,0.478485,-0.507915,1.411390,-3.533958,4.601734,-10.065800,-3.622366,14.022364,14.599520
2028707472908300154!,great-vivacious-beetle,0.270000,0.630955,0.524523,-0.606865,1.371756,-3.619220,4.609804,-9.716668,-4.298650,-2.046409,6.640678
2028707472908300154!,great-vivacious-beetle,0.280000,0.594213,0.570595,-0.701894,1.325649,-3.735813,4.607421,-9.283288,-4.915243,-19.731029,-2.258245
2028707472908300154!,great-vivacious-beetle,0.290000,0.556174,0.616551,-0.792194,1.273746,-3.878799,4.585282,-8.773089,-5.456335,-38.958031,-12.021640
2028707472908300154!,great-vivacious-beetle,0.300000,0.516620,0.662159,-0.877038,1.216883,-4.040060,4.534890,-8.196446,-5.907379,-59.557154,-22.514497
2028707472908300154!,great-vivacious-beetle,0.310000,0.475432,0.707106,-0.955813,1.156037,-4.208437,4.449717,-7.566421,-6.255923,-81.239575,-33.536562
2028707472908300154!,great-vivacious-beetle,0.320000,0.432620,0.751025,-1.028040,1.092307,-4.370577,4.326136,-6.898332,-6.492461,-103.589983,-44.821397
2028707472908300154!,great-vivacious-beetle,0.330000,0.388347,0.793527,-1.093390,1.026888,-4.512069,4.164104,-6.209084,-6.611187,-126.067899,-56.042366
2028707472908300154!,great-vivacious-beetle,0.340000,0.342941,0.834238,-1.151689,0.961048,-4.618836,3.967419,-5.516315,-6.610575,-148.022374,-66.825634
2028707472908300154!,great-vivacious-beetle,0.350000,0.296905,0.872828,-1.202914,0.896101,-4.678585,3.743479,-4.837435,-6.493710,-168.720421,-76.769352
2028707472908300154!,great-vivacious-beetle,0.360000,0.250483,0.909059,-1.247577,0.832797,-4.682130,3.503036,-4.184670,-6.268871,-187.487825,-85.547644
2028707472908300154!,great-vivacious-beetle,0.370000,0.204422,0.942835,-1.285861,0.772375,-4.624855,3.257536,-3.572051,-5.946802,-203.649275,-92.827760
2028707472908300154!,great-vivacious-beetle,0.380000,0.159165,0.974183,-1.318360,0.715491,-4.506452,3.019077,-3.007583,-5.541753,-216.715052,-98.415920
2028707472908300154!,great-vivacious-beetle,0.390000,0.115311,1.003235,-1.345570,0.662903,-4.330506,2.798200,-2.497588,-5.069642,-226.293660,-102.164749
2028707472908300154!,great-vivacious-beetle,0.400000,0.073409,1.030212,-1.368037,0.615202,-4.103840,2.603413,-2.045001,-4.547512,-232.161733,-104.019296
2028707472908300154!,great-vivacious-beetle,0.410000,0.033925,1.055407,-1.386322,0.572811,-3.835625,2.440601,-1.649665,-3.992531,-234.277334,-104.017590
2028707472908300154!,great-vivacious-beetle,0.420000,-0.002769,1.079154,-1.400971,0.535985,-3.536361,2.312825,-1.308857,-3.421121,-232.773840,-102.281584
2028707472908300154!,great-vivacious-beetle,0.430000,-0.036414,1.101805,-1.412499,0.504822,-3.216906,2.220473,-1.017957,-2.848258,-227.937342,-99.000953
2028707472908300154!,great-vivacious-beetle,0.440000,-0.066851,1.123702,-1.421369,0.479280,-2.887657,2.161679,-0.771166,-2.286996,-220.172736,-94.412909
2028707472908300154!,great-vivacious-beetle,0.450000,-0.094025,1.145164,-1.427984,0.459196,-2.557959,2.132886,-0.562169,-1.748203,-209.964497,-88.781215
2028707472908300154!,great-vivacious-beetle,0.460000,-0.117964,1.166466,-1.432685,0.444312,-2.235743,2.129448,-0.384702,-1.240473,-197.837650,-82.376971
2028707472908300154!,great-vivacious-beetle,0.470000,-0.138769,1.187835,-1.435755,0.434291,-1.927375,2.146199,-0.232967,-0.770183,-184.323029,-75.462793
2028707472908300154!,great-vivacious-beetle,0.480000,-0.156597,1.209447,-1.437420,0.428747,-1.637659,2.177914,-0.101906,-0.341652,-169.929235,-68.281097
2028707472908300154!,great-vivacious-beetle,0.490000,-0.171646,1.231427,-1.437864,0.427255,-1.369953,2.219660,0.012669,0.042636,-155.122080,-61.046414
2028707472908300154!,great-vivacious-beetle,0.500000,-0.184139,1.253855,-1.437231,0.429379,-1.126328,2.267006,0.114059,0.381783,-140.309858,-53.940084
2028707472908300154!,great-vivacious-beetle,0.510000,-0.194315,1.276767,-1.435638,0.434676,-0.907796,2.316208,0.204743,0.676220,-125.839911,-47.112083
2028707472908300154!,great-vivacious-beetle,0.520000,-0.202420,1.300171,-1.433180,0.442715,-0.714468,2.364188,0.286492,0.927447,-111.991648,-40.677721
2028707472908300154!,great-vivacious-beetle,0.530000,-0.208694,1.324043,-1.429935,0.453084,-0.545767,2.408566,0.360517,1.137793,-98.980936,-34.722205
2028707472908300154!,great-vivacious-beetle,0.540000,-0.213371,1.348343,-1.425975,0.465398,-0.400574,2.447586,0.427609,1.310191,-86.961928,-29.301890
2028707472908300154!,great-vivacious-beetle,0.550000,-0.216668,1.373016,-1.421360,0.479307,-0.277373,2.480050,0.488281,1.447972,-76.032237,-24.447394
2028707472908300154!,great-vivacious-beetle,0.560000,-0.218783,1.397999,-1.416147,0.494496,-0.174382,2.505233,0.542873,1.554691,-66.239234,-20.167023
2028707472908300154!,great-vivacious-beetle,0.570000,-0.219920,1.423212,-1.410400,0.510657,-0.089630,2.522778,0.591629,1.634037,-57.593330,-16.453034
2028707472908300154!,great-vivacious-beetle,0.580000,-0.220306,1.448557,-1.404199,0.527472,-0.021011,2.532578,0.634731,1.689737,-50.076302,-13.284804
2028707472908300154!,great-vivacious-beetle,0.590000,-0.220050,1.473969,-1.397581,0.544765,0.033504,2.534934,0.672470,1.725206,-43.618808,-10.620514
2028707472908300154!,great-vivacious-beetle,0.600000,-0.219373,1.499335,-1.390640,0.562246,0.075997,2.530054,0.705038,1.743815,-38.160400,-8.421111
2028707472908300154!,great-vivacious-beetle,0.610000,-0.218375,1.524586,-1.383423,0.579777,0.108353,2.518469,0.732774,1.748493,-33.602487,-6.633165
2028707472908300154!,great-vivacious-beetle,0.620000,-0.217138,1.549662,-1.375973,0.597243,0.132283,2.500793,0.756048,1.741840,-29.841823,-5.202846
2028707472908300154!,great-vivacious-beetle,0.630000,-0.215729,1.574507,-1.368329,0.614553,0.149312,2.477674,0.775248,1.726124,-26.775197,-4.077887
2028707472908300154!,great-vivacious-beetle,0.640000,-0.214204,1.599075,-1.360528,0.631635,0.160772,2.449776,0.790766,1.703293,-24.303248,-3.209171
2028707472908300154!,great-vivacious-beetle,0.650000,-0.212605,1.623322,-1.352602,0.648434,0.167806,2.417748,0.802987,1.674992,-22.333321,-2.551874
2028707472908300154!,great-vivacious-beetle,0.660000,-0.210968,1.647214,-1.344580,0.664910,0.171377,2.382212,0.812279,1.642591,-20.781363,-2.066169
2028707472908300154!,great-vivacious-beetle,0.670000,-0.209317,1.670722,-1.336487,0.681031,0.172283,2.343753,0.818986,1.607216,-19.572956,-1.717521
