ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
52464743154190131!,great-wine-beetle,0.000000,2.047652,-1.165329,0.564530,-1.389714,0.000000,0.000000,0.000000,0.000000,283.841091,556.889626,376.888861,-216.388629
52464743154190131!,great-wine-beetle,0.010000,2.037423,-1.181410,0.552634,-1.394487,-2.053305,-3.211485,-2.378884,-0.942750,-49.377388,38.266244,108.684597,39.601382
52464743154190131!,great-wine-beetle,0.020000,2.012474,-1.213694,0.524752,-1.405217,-2.935138,-3.241702,-3.198688,-1.194489,-75.262943,-7.419262,80.890812,59.409366
52464743154190131!,great-wine-beetle,0.030000,1.979501,-1.244910,0.489507,-1.417880,-3.657059,-2.995253,-3.850453,-1.329326,-75.868512,-13.406652,73.898731,59.801489
52464743154190131!,great-wine-beetle,0.040000,1.939614,-1.273476,0.447966,-1.431547,-4.314361,-2.713174,-4.454174,-1.393820,-74.519600,-15.683140,69.342288,58.701804
52464743154190131!,great-wine-beetle,0.050000,1.893378,-1.299140,0.400538,-1.445534,-4.921819,-2.416332,-5.022307,-1.391615,-72.905143,-17.187729,65.461950,57.403314
52464743154190131!,great-wine-beetle,0.060000,1.841260,-1.321771,0.347567,-1.459177,-5.483943,-2.108385,-5.556151,-1.323441,-70.991514,-18.158586,61.910215,55.875976
52464743154190131!,great-wine-beetle,0.070000,1.783704,-1.341275,0.289395,-1.471819,-6.001749,-1.792275,-6.054326,-1.190427,-68.642345,-18.608993,58.506063,54.011761
52464743154190131!,great-wine-beetle,0.080000,1.721151,-1.357595,0.226387,-1.482818,-6.474048,-1.471543,-6.514010,-0.994518,-65.751472,-18.534365,55.127808,51.726781
52464743154190131!,great-wine-beetle,0.090000,1.654066,-1.370715,0.158942,-1.491555,-6.898234,-1.150345,-6.931510,-0.738629,-62.258827,-17.937718,51.699365,48.973492
52464743154190131!,great-wine-beetle,0.100000,1.582944,-1.380668,0.087496,-1.497446,-7.271009,-0.833279,-7.302758,-0.426702,-58.155502,-16.838064,48.185517,45.744574
52464743154190131!,great-wine-beetle,0.110000,1.508322,-1.387542,0.012539,-1.499948,-7.589077,-0.525106,-7.623749,-0.063732,-53.482618,-15.271562,44.589064,42.072021
52464743154190131!,great-wine-beetle,0.120000,1.430784,-1.391467,-0.065387,-1.498574,-7.849778,-0.230480,-7.890926,0.344305,-48.328721,-13.293947,40.944564,38.025047
52464743154190131!,great-wine-beetle,0.130000,1.350926,-1.392623,-0.145718,-1.492905,-8.051521,0.046160,-8.101412,0.790755,-42.831867,-10.993387,37.304264,33.711546
52464743154190131!,great-wine-beetle,0.140000,1.269359,-1.391220,-0.227856,-1.482593,-8.194152,0.300981,-8.253192,1.268411,-37.155653,-8.469722,33.736058,29.259443
52464743154190131!,great-wine-beetle,0.150000,1.186673,-1.387508,-0.311199,-1.467363,-8.279126,0.530837,-8.345181,1.769852,-31.482357,-5.840112,30.307960,24.811182
52464743154190131!,great-wine-beetle,0.160000,1.103437,-1.381761,-0.395143,-1.447018,-8.309539,0.733515,-8.377213,2.287599,-25.989680,-3.221380,27.082919,20.505594
52464743154190131!,great-wine-beetle,0.170000,1.020175,-1.374268,-0.479084,-1.421435,-8.290001,0.907775,-8.349981,2.814295,-20.837724,-0.724948,24.109693,16.467671
52464743154190131!,great-wine-beetle,0.180000,0.937388,-1.365207,-0.562398,-1.390579,-8.226338,1.053198,-8.265069,3.342679,-16.145669,1.566309,21.424670,12.790460
52464743154190131!,great-wine-beetle,0.190000,0.855477,-1.354815,-0.644523,-1.354470,-8.125274,1.170144,-8.124655,3.866109,-12.015102,3.561711,19.033021,9.552978
52464743154190131!,great-wine-beetle,0.200000,0.774768,-1.343343,-0.724929,-1.313194,-7.994034,1.259874,-7.931340,4.378377,-8.508732,5.191768,16.920521,6.803808
52464743154190131!,great-wine-beetle,0.210000,0.695516,-1.331038,-0.803112,-1.266891,-7.839983,1.324407,-7.688060,4.873641,-5.653248,6.407016,15.055468,4.563340
52464743154190131!,great-wine-beetle,0.220000,0.617905,-1.318131,-0.878597,-1.215758,-7.670288,1.366359,-7.398022,5.346363,-3.445528,7.174824,13.392039,2.828632
52464743154190131!,great-wine-beetle,0.230000,0.542052,-1.304831,-0.950944,-1.160046,-7.491622,1.388782,-7.064687,5.791255,-1.859745,7.476357,11.874906,1.578986
52464743154190131!,great-wine-beetle,0.240000,0.468014,-1.291317,-1.019743,-1.100057,-7.309918,1.395017,-6.691794,6.203231,-0.854439,7.303804,10.444167,0.781504
52464743154190131!,great-wine-beetle,0.250000,0.395794,-1.277738,-1.084623,-1.036144,-7.130193,1.388567,-6.283409,6.577397,-0.378774,6.658105,9.039937,0.395999
52464743154190131!,great-wine-beetle,0.260000,0.325350,-1.264209,-1.145255,-0.968706,-6.956417,1.372968,-5.843993,6.909076,-0.377440,5.547381,7.606209,0.378851
52464743154190131!,great-wine-beetle,0.270000,0.256608,-1.250809,-1.201356,-0.898189,-6.791446,1.351678,-5.378465,7.193867,-0.794013,3.986135,6.093871,0.685650
52464743154190131!,great-wine-beetle,0.280000,0.189470,-1.237586,-1.252694,-0.825080,-6.636992,1.327952,-4.892250,7.427753,-1.572809,1.995230,4.462896,1.272664
52464743154190131!,great-wine-beetle,0.290000,0.123829,-1.224556,-1.299093,-0.749905,-6.493648,1.304721,-4.391290,7.607223,-2.659486,-0.397502,2.683856,2.097324
52464743154190131!,great-wine-beetle,0.300000,0.059573,-1.211708,-1.340438,-0.673220,-6.360951,1.284459,-3.882015,7.729428,-4.000751,-3.156229,0.738900,3.118006
52464743154190131!,great-wine-beetle,0.310000,-0.003399,-1.199007,-1.376682,-0.595606,-6.237500,1.269055,-3.371264,7.792332,-5.543575,-6.235924,-1.377650,4.293427
52464743154190131!,great-wine-beetle,0.320000,-0.065169,-1.186406,-1.407845,-0.517661,-6.121116,1.259692,-2.866151,7.794865,-7.234295,-9.581310,-3.659016,5.581953
52464743154190131!,great-wine-beetle,0.330000,-0.125795,-1.173847,-1.434019,-0.439987,-6.009054,1.256765,-2.373889,7.737044,-9.017957,-13.126251,-6.085978,6.941084
52464743154190131!,great-wine-beetle,0.340000,-0.185307,-1.161272,-1.455369,-0.363184,-5.898244,1.259829,-1.901567,7.620061,-10.838145,-16.793868,-8.627212,8.327322
52464743154190131!,great-wine-beetle,0.350000,-0.243703,-1.148632,-1.472126,-0.287830,-5.785561,1.267611,-1.455907,7.446323,-12.637463,-20.497579,-11.240070,9.696533
52464743154190131!,great-wine-beetle,0.360000,-0.300956,-1.135902,-1.484587,-0.214480,-5.668079,1.278150,-1.042994,7.219392,-14.358351,-24.143602,-13.872808,11.004559
52464743154190131!,great-wine-beetle,0.370000,-0.356995,-1.123061,-1.493106,-0.143647,-5.543373,1.288732,-0.668067,6.944045,-15.946027,-27.632509,-16.463072,12.209519
52464743154190131!,great-wine-beetle,0.380000,-0.411741,-1.110138,-1.498084,-0.075797,-5.409652,1.296419,-0.335247,6.625941,-17.348944,-30.865656,-18.945627,13.272081
52464743154190131!,great-wine-beetle,0.390000,-0.465096,-1.097185,-1.499957,-0.011338,-5.265948,1.298060,-0.047406,6.271566,-18.522463,-33.748004,-21.251587,14.158319
52464743154190131!,great-wine-beetle,0.400000,-0.516951,-1.084287,-1.499187,0.049385,-5.112169,1.290637,0.193957,5.887970,-19.430812,-36.193655,-23.313186,14.841194
52464743154190131!,great-wine-beetle,0.410000,-0.567196,-1.071562,-1.496243,0.106093,-4.949076,1.271524,0.388744,5.482509,-20.049032,-38.130590,-25.067567,15.302009
52464743154190131!,great-wine-beetle,0.420000,-0.615731,-1.059153,-1.491594,0.158576,-4.778190,1.238705,0.538217,5.062582,-20.364322,-39.504809,-26.460491,15.531424
52464743154190131!,great-wine-beetle,0.430000,-0.662470,-1.047225,-1.485691,0.206691,-4.601632,1.190940,0.644879,4.635382,-20.376660,-40.283482,-27.449653,15.529898
52464743154190131!,great-wine-beetle,0.440000,-0.707371,-1.035922,-1.478950,0.250416,-4.421984,1.127797,0.712424,4.207547,-20.104621,-40.464596,-28.010132,15.312150
52464743154190131!,great-wine-beetle,0.450000,-0.750504,-1.025280,-1.471707,0.289963,-4.242138,1.049617,0.745669,3.784642,-19.596660,-40.094759,-28.143786,14.915820
52464743154190131!,great-wine-beetle,0.460000,-0.791877,-1.015451,-1.464280,0.325398,-4.064571,0.957738,0.749288,3.371772,-18.881088,-39.205873,-27.857722,14.362835
52464743154190131!,great-wine-beetle,0.470000,-0.831523,-1.006564,-1.456938,0.356834,-3.891562,0.854078,0.728210,2.973250,-17.992336,-37.846543,-27.173227,13.679719
52464743154190131!,great-wine-beetle,0.480000,-0.869495,-0.998732,-1.449902,0.384427,-3.725076,0.740985,0.687392,2.592564,-16.968459,-36.078447,-26.124092,12.895669
