ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
2304162127819030827!,lush-bipedal-bumblebee,0.000000,1.410898,-0.725682,0.000000,-0.725682,0.000000,0.000000,0.000000,0.000000,146.377746,-318.144629
2304162127819030827!,lush-bipedal-bumblebee,0.010000,1.408398,-0.720529,0.000000,-0.720529,-0.499835,1.030768,0.000000,1.030768,128.888737,-279.497287
2304162127819030827!,lush-bipedal-bumblebee,0.020000,1.401220,-0.705725,0.000000,-0.705725,-0.935017,1.928208,0.000000,1.928208,113.233973,-244.903274
2304162127819030827!,lush-bipedal-bumblebee,0.030000,1.389969,-0.682524,0.000000,-0.682524,-1.312327,2.706302,0.000000,2.706302,99.231063,-213.959540
2304162127819030827!,lush-bipedal-bumblebee,0.040000,1.375192,-0.652050,0.000000,-0.652050,-1.637871,3.377645,0.000000,3.377645,86.715588,-186.302752
2304162127819030827!,lush-bipedal-bumblebee,0.050000,1.357377,-0.615310,0.000000,-0.615310,-1.917149,3.953575,0.000000,3.953575,75.539286,-161.605276
2304162127819030827!,lush-bipedal-bumblebee,0.060000,1.336960,-0.573207,0.000000,-0.573207,-2.155110,4.444301,0.000000,4.444301,65.568471,-139.571697
2304162127819030827!,lush-bipedal-bumblebee,0.070000,1.314341,-0.526562,0.000000,-0.526562,-2.356211,4.859015,0.000000,4.859015,56.683184,-119.936924
2304162127819030827!,lush-bipedal-bumblebee,0.080000,1.289888,-0.476134,0.000000,-0.476134,-2.524465,5.205991,0.000000,5.205991,48.776229,-102.464077
2304162127819030827!,lush-bipedal-bumblebee,0.090000,1.263913,-0.422569,0.000000,-0.422569,-2.663488,5.492688,0.000000,5.492688,41.749426,-86.936196
2304162127819030827!,lush-bipedal-bumblebee,0.100000,1.236693,-0.366434,0.000000,-0.366434,-2.776535,5.725816,0.000000,5.725816,35.513816,-73.156698
2304162127819030827!,lush-bipedal-bumblebee,0.110000,1.208467,-0.308227,0.000000,-0.308227,-2.866531,5.911406,0.000000,5.911406,29.988954,-60.947817
2304162127819030827!,lush-bipedal-bumblebee,0.120000,1.179450,-0.248387,0.000000,-0.248387,-2.936102,6.054877,0.000000,6.054877,25.102275,-50.149199
2304162127819030827!,lush-bipedal-bumblebee,0.130000,1.149830,-0.187305,0.000000,-0.187305,-2.987609,6.161094,0.000000,6.161094,20.788426,-40.616423
2304162127819030827!,lush-bipedal-bumblebee,0.140000,1.119776,-0.125328,0.000000,-0.125328,-3.023167,6.234424,0.000000,6.234424,16.988589,-32.219515
2304162127819030827!,lush-bipedal-bumblebee,0.150000,1.089437,-0.062761,0.000000,-0.062761,-3.044679,6.278786,0.000000,6.278786,13.649834,-24.841510
2304162127819030827!,lush-bipedal-bumblebee,0.160000,1.058944,0.000122,0.000000,0.000122,-3.053848,6.297695,0.000000,6.297695,10.724529,-18.377148
2304162127819030827!,lush-bipedal-bumblebee,0.170000,1.028414,0.063081,0.000000,0.063081,-3.052203,6.294302,0.000000,6.294302,8.169796,-12.731681
2304162127819030827!,lush-bipedal-bumblebee,0.180000,0.997949,0.125907,0.000000,0.125907,-3.041114,6.271433,0.000000,6.271433,5.947034,-7.819806
2304162127819030827!,lush-bipedal-bumblebee,0.190000,0.967638,0.188414,0.000000,0.188414,-3.021807,6.231619,0.000000,6.231619,4.021489,-3.564723
2304162127819030827!,lush-bipedal-bumblebee,0.200000,0.937560,0.250441,0.000000,0.250441,-2.995383,6.177126,0.000000,6.177126,2.361868,0.102721
2304162127819030827!,lush-bipedal-bumblebee,0.210000,0.907783,0.311849,0.000000,0.311849,-2.962823,6.109980,0.000000,6.109980,0.939994,3.244788
2304162127819030827!,lush-bipedal-bumblebee,0.220000,0.878364,0.372516,0.000000,0.372516,-2.925006,6.031994,0.000000,6.031994,-0.269498,5.917532
2304162127819030827!,lush-bipedal-bumblebee,0.230000,0.849355,0.432339,0.000000,0.432339,-2.882719,5.944788,0.000000,5.944788,-1.289443,8.171414
2304162127819030827!,lush-bipedal-bumblebee,0.240000,0.820798,0.491230,0.000000,0.491230,-2.836660,5.849806,0.000000,5.849806,-2.140394,10.051853
2304162127819030827!,lush-bipedal-bumblebee,0.250000,0.792729,0.549114,0.000000,0.549114,-2.787457,5.748337,0.000000,5.748337,-2.840848,11.599722
2304162127819030827!,lush-bipedal-bumblebee,0.260000,0.765179,0.605928,0.000000,0.605928,-2.735663,5.641528,0.000000,5.641528,-3.407448,12.851797
2304162127819030827!,lush-bipedal-bumblebee,0.270000,0.738173,0.661621,0.000000,0.661621,-2.681775,5.530400,0.000000,5.530400,-3.855164,13.841163
2304162127819030827!,lush-bipedal-bumblebee,0.280000,0.711730,0.716152,0.000000,0.716152,-2.626232,5.415858,0.000000,5.415858,-4.197459,14.597570
2304162127819030827!,lush-bipedal-bumblebee,0.290000,0.685857,0.769508,0.000000,0.769508,-2.569424,5.298707,0.000000,5.298707,-4.447255,15.149571
2304162127819030827!,lush-bipedal-bumblebee,0.300000,0.660553,0.821691,0.000000,0.821691,-2.511692,5.179651,0.000000,5.179651,-4.616496,15.523561
2304162127819030827!,lush-bipedal-bumblebee,0.310000,0.635824,0.872687,0.000000,0.872687,-2.453335,5.059306,0.000000,5.059306,-4.714908,15.741032
2304162127819030827!,lush-bipedal-bumblebee,0.320000,0.611674,0.922489,0.000000,0.922489,-2.394613,4.938209,0.000000,4.938209,-4.751193,15.821216
2304162127819030827!,lush-bipedal-bumblebee,0.330000,0.588105,0.971093,0.000000,0.971093,-2.335758,4.816837,0.000000,4.816837,-4.733135,15.781311
2304162127819030827!,lush-bipedal-bumblebee,0.340000,0.565118,1.018499,0.000000,1.018499,-2.276969,4.695602,0.000000,4.695602,-4.667690,15.636689
2304162127819030827!,lush-bipedal-bumblebee,0.350000,0.542709,1.064710,0.000000,1.064710,-2.218422,4.574866,0.000000,4.574866,-4.561069,15.401078
2304162127819030827!,lush-bipedal-bumblebee,0.360000,0.520876,1.109734,0.000000,1.109734,-2.160270,4.454943,0.000000,4.454943,-4.418817,15.086728
2304162127819030827!,lush-bipedal-bumblebee,0.370000,0.499615,1.153580,0.000000,1.153580,-2.102643,4.336104,0.000000,4.336104,-4.245878,14.704566
2304162127819030827!,lush-bipedal-bumblebee,0.380000,0.478919,1.196260,0.000000,1.196260,-2.045656,4.218583,0.000000,4.218583,-4.046657,14.264326
2304162127819030827!,lush-bipedal-bumblebee,0.390000,0.458781,1.237787,0.000000,1.237787,-1.989405,4.102582,0.000000,4.102582,-3.825077,13.774677
2304162127819030827!,lush-bipedal-bumblebee,0.400000,0.439196,1.278176,0.000000,1.278176,-1.933973,3.988269,0.000000,3.988269,-3.584625,13.243326
2304162127819030827!,lush-bipedal-bumblebee,0.410000,0.420154,1.317445,0.000000,1.317445,-1.879430,3.875790,0.000000,3.875790,-3.328403,12.677123
2304162127819030827!,lush-bipedal-bumblebee,0.420000,0.401647,1.355611,0.000000,1.355611,-1.825834,3.765264,0.000000,3.765264,-3.059159,12.082147
2304162127819030827!,lush-bipedal-bumblebee,0.430000,0.383665,1.392692,0.000000,1.392692,-1.773234,3.656791,0.000000,3.656791,-2.779335,11.463788
2304162127819030827!,lush-bipedal-bumblebee,0.440000,0.366201,1.428708,0.000000,1.428708,-1.721668,3.550451,0.000000,3.550451,-2.491087,10.826815
2304162127819030827!,lush-bipedal-bumblebee,0.450000,0.349243,1.463680,0.000000,1.463680,-1.671168,3.446308,0.000000,3.446308,-2.196324,10.175447
2304162127819030827!,lush-bipedal-bumblebee,0.460000,0.332781,1.497627,0.000000,1.497627,-1.621757,3.344413,0.000000,3.344413,-1.896731,9.513403
2304162127819030827!,lush-bipedal-bumblebee,0.470000,0.316806,1.530570,0.000000,1.530570,-1.573454,3.244801,0.000000,3.244801,-1.593790,8.843963
2304162127819030827!,lush-bipedal-bumblebee,0.480000,0.301308,1.562531,0.000000,1.562531,-1.526271,3.147499,0.000000,3.147499,-1.288807,8.170009
2304162127819030827!,lush-bipedal-bumblebee,0.490000,0.286276,1.593531,0.000000,1.593531,-1.480215,3.052522,0.000000,3.052522,-0.982923,7.494064
2304162127819030827!,lush-bipedal-bumblebee,0.500000,0.271699,1.623591,0.000000,1.623591,-1.435290,2.959877,0.000000,2.959877,-0.677135,6.818332
2304162127819030827!,lush-bipedal-bumblebee,0.510000,0.257568,1.652733,0.000000,1.652733,-1.391495,2.869564,0.000000,2.869564,-0.372318,6.144746
2304162127819030827!,lush-bipedal-bumblebee,0.520000,0.243872,1.680977,0.000000,1.680977,-1.348828,2.781574,0.000000,2.781574,-0.069232,5.474983
2304162127819030827!,lush-bipedal-bumblebee,0.530000,0.230600,1.708346,0.000000,1.708346,-1.307280,2.695894,0.000000,2.695894,0.231466,4.810499
2304162127819030827!,lush-bipedal-bumblebee,0.540000,0.217743,1.734859,0.000000,1.734859,-1.266845,2.612507,0.000000,2.612507,0.529207,4.152549
2304162127819030827!,lush-bipedal-bumblebee,0.550000,0.205291,1.760539,0.000000,1.760539,-1.227510,2.531390,0.000000,2.531390,0.823502,3.502212
2304162127819030827!,lush-bipedal-bumblebee,0.560000,0.193233,1.785405,0.000000,1.785405,-1.189263,2.452516,0.000000,2.452516,1.113936,2.860409
2304162127819030827!,lush-bipedal-bumblebee,0.570000,0.181560,1.809478,0.000000,1.809478,-1.152089,2.375857,0.000000,2.375857,1.400155,2.227921
2304162127819030827!,lush-bipedal-bumblebee,0.580000,0.170261,1.832778,0.000000,1.832778,-1.115974,2.301379,0.000000,2.301379,1.681860,1.605406
2304162127819030827!,lush-bipedal-bumblebee,0.590000,0.159327,1.855326,0.000000,1.855326,-1.080900,2.229049,0.000000,2.229049,1.958804,0.993414
2304162127819030827!,lush-bipedal-bumblebee,0.600000,0.148749,1.877140,0.000000,1.877140,-1.046850,2.158831,0.000000,2.158831,2.230781,0.392397
2304162127819030827!,lush-bipedal-bumblebee,0.610000,0.138518,1.898240,0.000000,1.898240,-1.013805,2.090686,0.000000,2.090686,2.497625,-0.197276
2304162127819030827!,lush-bipedal-bumblebee,0.620000,0.128620,1.918651,0.000000,1.918651,-0.981747,2.024575,0.000000,2.024575,2.758960,-0.774777
2304162127819030827!,lush-bipedal-bumblebee,0.630000,0.119037,1.938414,0.000000,1.938414,-0.950655,1.960456,0.000000,1.960456,3.013782,-1.337884
2304162127819030827!,lush-bipedal-bumblebee,0.640000,0.109759,1.957546,0.000000,1.957546,-0.920505,1.898280,0.000000,1.898280,3.262214,-1.886870
2304162127819030827!,lush-bipedal-bumblebee,0.650000,0.100779,1.976064,0.000000,1.976064,-0.891274,1.837998,0.000000,1.837998,3.504379,-2.422008
2304162127819030827!,lush-bipedal-bumblebee,0.660000,0.092090,1.993984,0.000000,1.993984,-0.862937,1.779563,0.000000,1.779563,3.740401,-2.943571
2304162127819030827!,lush-bipedal-bumblebee,0.670000,0.083682,2.011323,0.000000,2.011323,-0.835473,1.722926,0.000000,1.722926,3.970402,-3.451830
2304162127819030827!,lush-bipedal-bumblebee,0.680000,0.075549,2.028095,0.000000,2.028095,-0.808860,1.668043,0.000000,1.668043,4.194505,-3.947055
2304162127819030827!,lush-bipedal-bumblebee,0.690000,0.067683,2.044316,0.000000,2.044316,-0.783074,1.614869,0.000000,1.614869,4.412829,-4.429508
2304162127819030827!,lush-bipedal-bumblebee,0.700000,0.060077,2.060001,0.000000,2.060001,-0.758096,1.563358,0.000000,1.563358,4.625490,-4.899449
2304162127819030827!,lush-bipedal-bumblebee,0.710000,0.052718,2.075178,0.000000,2.075178,-0.733904,1.513469,0.000000,1.513469,4.832071,-5.355952
2304162127819030827!,lush-bipedal-bumblebee,0.720000,0.045593,2.089869,0.000000,2.089869,-0.710476,1.465155,0.000000,1.465155,5.032382,-5.798601
2304162127819030827!,lush-bipedal-bumblebee,0.730000,0.038697,2.104091,0.000000,2.104091,-0.687789,1.418368,0.000000,1.418368,5.226588,-6.227758
2304162127819030827!,lush-bipedal-bumblebee,0.740000,0.032021,2.117858,0.000000,2.117858,-0.665819,1.373062,0.000000,1.373062,5.414850,-6.643781
2304162127819030827!,lush-bipedal-bumblebee,0.750000,0.025559,2.131185,0.000000,2.131185,-0.644545,1.329191,0.000000,1.329191,5.597328,-7.047023
2304162127819030827!,lush-bipedal-bumblebee,0.760000,0.019304,2.144084,0.000000,2.144084,-0.623946,1.286711,0.000000,1.286711,5.774182,-7.437835
2304162127819030827!,lush-bipedal-bumblebee,0.770000,0.013249,2.156572,0.000000,2.156572,-0.604000,1.245579,0.000000,1.245579,5.945566,-7.816561
2304162127819030827!,lush-bipedal-bumblebee,0.780000,0.007387,2.168659,0.000000,2.168659,-0.584688,1.205754,0.000000,1.205754,6.111634,-8.183541
2304162127819030827!,lush-bipedal-bumblebee,0.790000,0.001714,2.180359,0.000000,2.180359,-0.565990,1.167194,0.000000,1.167194,6.272538,-8.539108
2304162127819030827!,lush-bipedal-bumblebee,0.800000,-0.003778,2.191685,0.000000,2.191685,-0.547887,1.129862,0.000000,1.129862,6.428426,-8.883589
2304162127819030827!,lush-bipedal-bumblebee,0.810000,-0.009094,2.202648,0.000000,2.202648,-0.530360,1.093718,0.000000,1.093718,6.579442,-9.217306
2304162127819030827!,lush-bipedal-bumblebee,0.820000,-0.014240,2.213259,0.000000,2.213259,-0.513392,1.058725,0.000000,1.058725,6.725729,-9.540572
2304162127819030827!,lush-bipedal-bumblebee,0.830000,-0.019221,2.223531,0.000000,2.223531,-0.496964,1.024847,0.000000,1.024847,6.867427,-9.853696
2304162127819030827!,lush-bipedal-bumblebee,0.840000,-0.024042,2.233474,0.000000,2.233474,-0.481060,0.992050,0.000000,0.992050,7.004670,-10.156977
2304162127819030827!,lush-bipedal-bumblebee,0.850000,-0.028709,2.243098,0.000000,2.243098,-0.465664,0.960299,0.000000,0.960299,7.137592,-10.450709
2304162127819030827!,lush-bipedal-bumblebee,0.860000,-0.033227,2.252414,0.000000,2.252414,-0.450758,0.929561,0.000000,0.929561,7.266323,-10.735179
2304162127819030827!,lush-bipedal-bumblebee,0.870000,-0.037599,2.261431,0.000000,2.261431,-0.436329,0.899805,0.000000,0.899805,7.390988,-11.010666
2304162127819030827!,lush-bipedal-bumblebee,0.880000,-0.041832,2.270159,0.000000,2.270159,-0.422361,0.870999,0.000000,0.870999,7.511712,-11.277442
2304162127819030827!,lush-bipedal-bumblebee,0.890000,-0.045929,2.278608,0.000000,2.278608,-0.408838,0.843113,0.000000,0.843113,7.628614,-11.535772
2304162127819030827!,lush-bipedal-bumblebee,0.900000,-0.049894,2.286786,0.000000,2.286786,-0.395748,0.816119,0.000000,0.816119,7.741810,-11.785916
2304162127819030827!,lush-bipedal-bumblebee,0.910000,-0.053733,2.294701,0.000000,2.294701,-0.383077,0.789987,0.000000,0.789987,7.851416,-12.028124
2304162127819030827!,lush-bipedal-bumblebee,0.920000,-0.057448,2.302363,0.000000,2.302363,-0.370810,0.764691,0.000000,0.764691,7.957542,-12.262640
2304162127819030827!,lush-bipedal-bumblebee,0.930000,-0.061044,2.309780,0.000000,2.309780,-0.358936,0.740204,0.000000,0.740204,8.060294,-12.489703
