ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
164058718676849144!,lush-impartial-bumblebee,0.000000,1.660480,1.997172,0.000000,1.997172,0.000000,0.000000,0.000000,0.000000,8.308499,101.202185,-43.717917
164058718676849144!,lush-impartial-bumblebee,0.010000,1.655103,1.993344,0.000000,1.993344,-1.075460,-0.765695,0.000000,-0.765695,6.785252,86.896515,-36.506093
164058718676849144!,lush-impartial-bumblebee,0.020000,1.639657,1.982347,0.000000,1.982347,-2.011811,-1.432349,0.000000,-1.432349,5.421764,74.091222,-30.050644
164058718676849144!,lush-impartial-bumblebee,0.030000,1.615450,1.965113,0.000000,1.965113,-2.823642,-2.010348,0.000000,-2.010348,4.202147,62.637113,-24.276360
164058718676849144!,lush-impartial-bumblebee,0.040000,1.583655,1.942475,0.000000,1.942475,-3.524093,-2.509047,0.000000,-2.509047,3.112082,52.399697,-19.115439
164058718676849144!,lush-impartial-bumblebee,0.050000,1.545323,1.915184,0.000000,1.915184,-4.124994,-2.936871,0.000000,-2.936871,2.138656,43.257698,-14.506743
164058718676849144!,lush-impartial-bumblebee,0.060000,1.501394,1.883908,0.000000,1.883908,-4.636998,-3.301402,0.000000,-3.301402,1.270224,35.101765,-10.395146
164058718676849144!,lush-impartial-bumblebee,0.070000,1.452743,1.849270,0.000000,1.849270,-5.069693,-3.609468,0.000000,-3.609468,0.496396,27.834313,-6.731453
164058718676849144!,lush-impartial-bumblebee,0.080000,1.400149,1.811824,0.000000,1.811824,-5.431719,-3.867219,0.000000,-3.867219,-0.192214,21.367187,-3.471223
164058718676849144!,lush-impartial-bumblebee,0.090000,1.344282,1.772049,0.000000,1.772049,-5.730857,-4.080197,0.000000,-4.080197,-0.804174,15.619917,-0.573890
164058718676849144!,lush-impartial-bumblebee,0.100000,1.285729,1.730361,0.000000,1.730361,-5.974109,-4.253385,0.000000,-4.253385,-1.347247,10.519620,1.997290
164058718676849144!,lush-impartial-bumblebee,0.110000,1.225009,1.687130,0.000000,1.687130,-6.167765,-4.391262,0.000000,-4.391262,-1.828439,6.000474,4.275497
164058718676849144!,lush-impartial-bumblebee,0.120000,1.162580,1.642682,0.000000,1.642682,-6.317477,-4.497852,0.000000,-4.497852,-2.254066,2.003166,6.290634
164058718676849144!,lush-impartial-bumblebee,0.130000,1.098850,1.597309,0.000000,1.597309,-6.428319,-4.576768,0.000000,-4.576768,-2.629814,-1.525692,8.069614
164058718676849144!,lush-impartial-bumblebee,0.140000,1.034184,1.551269,0.000000,1.551269,-6.504845,-4.631253,0.000000,-4.631253,-2.960797,-4.634148,9.636660
164058718676849144!,lush-impartial-bumblebee,0.150000,0.968904,1.504792,0.000000,1.504792,-6.551145,-4.664217,0.000000,-4.664217,-3.251618,-7.365405,11.013550
164058718676849144!,lush-impartial-bumblebee,0.160000,0.903294,1.458079,0.000000,1.458079,-6.570886,-4.678272,0.000000,-4.678272,-3.506425,-9.758441,12.219936
164058718676849144!,lush-impartial-bumblebee,0.170000,0.837603,1.411309,0.000000,1.411309,-6.567357,-4.675759,0.000000,-4.675759,-3.728955,-11.848350,13.273508
164058718676849144!,lush-impartial-bumblebee,0.180000,0.772051,1.364638,0.000000,1.364638,-6.543505,-4.658777,0.000000,-4.658777,-3.922572,-13.666720,14.190190
164058718676849144!,lush-impartial-bumblebee,0.190000,0.706830,1.318202,0.000000,1.318202,-6.501972,-4.629207,0.000000,-4.629207,-4.090305,-15.241989,14.984321
164058718676849144!,lush-impartial-bumblebee,0.200000,0.642108,1.272122,0.000000,1.272122,-6.445120,-4.588730,0.000000,-4.588730,-4.234878,-16.599758,15.668804
164058718676849144!,lush-impartial-bumblebee,0.210000,0.578031,1.226502,0.000000,1.226502,-6.375065,-4.538853,0.000000,-4.538853,-4.358746,-17.763075,16.255259
164058718676849144!,lush-impartial-bumblebee,0.220000,0.514725,1.181430,0.000000,1.181430,-6.293699,-4.480923,0.000000,-4.480923,-4.464119,-18.752688,16.754146
164058718676849144!,lush-impartial-bumblebee,0.230000,0.452298,1.136983,0.000000,1.136983,-6.202709,-4.416141,0.000000,-4.416141,-4.552984,-19.587274,17.174881
164058718676849144!,lush-impartial-bumblebee,0.240000,0.390842,1.093229,0.000000,1.093229,-6.103603,-4.345580,0.000000,-4.345580,-4.627132,-20.283641,17.525936
164058718676849144!,lush-impartial-bumblebee,0.250000,0.330436,1.050221,0.000000,1.050221,-5.997726,-4.270199,0.000000,-4.270199,-4.688174,-20.856917,17.814937
164058718676849144!,lush-impartial-bumblebee,0.260000,0.271144,1.008007,0.000000,1.008007,-5.886275,-4.190849,0.000000,-4.190849,-4.737558,-21.320710,18.048746
164058718676849144!,lush-impartial-bumblebee,0.270000,0.213019,0.966624,0.000000,0.966624,-5.770313,-4.108288,0.000000,-4.108288,-4.776588,-21.687262,18.233534
164058718676849144!,lush-impartial-bumblebee,0.280000,0.156106,0.926104,0.000000,0.926104,-5.650787,-4.023189,0.000000,-4.023189,-4.806436,-21.967584,18.374851
164058718676849144!,lush-impartial-bumblebee,0.290000,0.100440,0.886471,0.000000,0.886471,-5.528535,-3.936149,0.000000,-3.936149,-4.828156,-22.171573,18.477686
164058718676849144!,lush-impartial-bumblebee,0.300000,0.046045,0.847744,0.000000,0.847744,-5.404300,-3.847698,0.000000,-3.847698,-4.842696,-22.308126,18.546526
164058718676849144!,lush-impartial-bumblebee,0.310000,-0.007058,0.809936,0.000000,0.809936,-5.278737,-3.758300,0.000000,-3.758300,-4.850907,-22.385237,18.585399
164058718676849144!,lush-impartial-bumblebee,0.320000,-0.058897,0.773028,0.000000,0.773028,-5.152424,-3.668369,0.000000,-3.668369,-4.853690,-22.411372,18.598575
164058718676849144!,lush-impartial-bumblebee,0.330000,-0.109467,0.737024,0.000000,0.737024,-5.025856,-3.578257,0.000000,-3.578257,-4.851723,-22.392898,18.589261
164058718676849144!,lush-impartial-bumblebee,0.340000,-0.158765,0.701925,0.000000,0.701925,-4.899469,-3.488273,0.000000,-3.488273,-4.845605,-22.335442,18.560297
