ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
2092790631406944315!,lush-piquant-bumblebee,0.000000,1.547051,-1.978286,0.000000,-1.978286,0.000000,0.000000,0.000000,0.000000,-32.753988,125.359799
2092790631406944315!,lush-piquant-bumblebee,0.010000,1.543522,-1.972314,0.000000,-1.972314,-0.705905,1.194269,0.000000,1.194269,-28.517301,110.375512
2092790631406944315!,lush-piquant-bumblebee,0.020000,1.533384,-1.955162,0.000000,-1.955162,-1.320502,2.234061,0.000000,2.234061,-24.724958,96.962777
2092790631406944315!,lush-piquant-bumblebee,0.030000,1.517495,-1.928281,0.000000,-1.928281,-1.853367,3.135577,0.000000,3.135577,-21.332774,84.965321
2092790631406944315!,lush-piquant-bumblebee,0.040000,1.496625,-1.892974,0.000000,-1.892974,-2.313125,3.913408,0.000000,3.913408,-18.300919,74.242275
2092790631406944315!,lush-piquant-bumblebee,0.050000,1.471465,-1.850406,0.000000,-1.850406,-2.707542,4.580693,0.000000,4.580693,-15.593476,64.666609
2092790631406944315!,lush-piquant-bumblebee,0.060000,1.442631,-1.801625,0.000000,-1.801625,-3.043608,5.149259,0.000000,5.149259,-13.178061,56.123784
2092790631406944315!,lush-piquant-bumblebee,0.070000,1.410682,-1.747572,0.000000,-1.747572,-3.327618,5.629754,0.000000,5.629754,-11.025538,48.510754
2092790631406944315!,lush-piquant-bumblebee,0.080000,1.376140,-1.689133,0.000000,-1.689133,-3.565237,6.031765,0.000000,6.031765,-9.109998,41.735883
2092790631406944315!,lush-piquant-bumblebee,0.090000,1.339449,-1.627059,0.000000,-1.627059,-3.761574,6.363932,0.000000,6.363932,-7.407678,35.715130
2092790631406944315!,lush-piquant-bumblebee,0.100000,1.301000,-1.562009,0.000000,-1.562009,-3.921222,6.634029,0.000000,6.634029,-5.897050,30.372348
2092790631406944315!,lush-piquant-bumblebee,0.110000,1.261133,-1.494562,0.000000,-1.494562,-4.048313,6.849046,0.000000,6.849046,-4.558634,25.638647
2092790631406944315!,lush-piquant-bumblebee,0.120000,1.220150,-1.425226,0.000000,-1.425226,-4.146560,7.015262,0.000000,7.015262,-3.374848,21.451841
2092790631406944315!,lush-piquant-bumblebee,0.130000,1.178318,-1.354453,0.000000,-1.354453,-4.219294,7.138315,0.000000,7.138315,-2.329852,17.755905
2092790631406944315!,lush-piquant-bumblebee,0.140000,1.135874,-1.282644,0.000000,-1.282644,-4.269506,7.223266,0.000000,7.223266,-1.409386,14.500408
2092790631406944315!,lush-piquant-bumblebee,0.150000,1.093027,-1.210155,0.000000,-1.210155,-4.299881,7.274655,0.000000,7.274655,-0.600621,11.639971
2092790631406944315!,lush-piquant-bumblebee,0.160000,1.049963,-1.137298,0.000000,-1.137298,-4.312825,7.296554,0.000000,7.296554,0.107991,9.133757
2092790631406944315!,lush-piquant-bumblebee,0.170000,1.006847,-1.064353,0.000000,-1.064353,-4.310498,7.292617,0.000000,7.292617,0.726841,6.945014
2092790631406944315!,lush-piquant-bumblebee,0.180000,0.963822,-0.991562,0.000000,-0.991562,-4.294833,7.266115,0.000000,7.266115,1.265281,5.040661
2092790631406944315!,lush-piquant-bumblebee,0.190000,0.921014,-0.919139,0.000000,-0.919139,-4.267564,7.219980,0.000000,7.219980,1.731734,3.390915
2092790631406944315!,lush-piquant-bumblebee,0.200000,0.878534,-0.847270,0.000000,-0.847270,-4.230242,7.156838,0.000000,7.156838,2.133779,1.968965
2092790631406944315!,lush-piquant-bumblebee,0.210000,0.836478,-0.776118,0.000000,-0.776118,-4.184255,7.079037,0.000000,7.079037,2.478241,0.750672
2092790631406944315!,lush-piquant-bumblebee,0.220000,0.794928,-0.705823,0.000000,-0.705823,-4.130845,6.988676,0.000000,6.988676,2.771265,-0.285694
2092790631406944315!,lush-piquant-bumblebee,0.230000,0.753955,-0.636504,0.000000,-0.636504,-4.071120,6.887630,0.000000,6.887630,3.018382,-1.159694
