ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
222669300559593550!,lush-proficient-bumblebee,0.000000,-0.000349,2.144941,0.000000,2.144941,0.000000,0.000000,0.000000,0.000000,-41.871852,26.612503,84.637984,33.497258
222669300559593550!,lush-proficient-bumblebee,0.010000,0.001780,2.137555,0.000000,2.137555,0.425787,-1.477389,0.000000,-1.477389,-36.324025,22.757010,72.999051,29.054253
222669300559593550!,lush-proficient-bumblebee,0.020000,0.007895,2.116336,0.000000,2.116336,0.796498,-2.763680,0.000000,-2.763680,-31.358054,19.305881,62.580807,25.077229
222669300559593550!,lush-proficient-bumblebee,0.030000,0.017479,2.083083,0.000000,2.083083,1.117911,-3.878915,0.000000,-3.878915,-26.916080,16.218907,53.261872,21.519851
222669300559593550!,lush-proficient-bumblebee,0.040000,0.030067,2.039405,0.000000,2.039405,1.395228,-4.841144,0.000000,-4.841144,-22.945947,13.459841,44.932826,18.340350
222669300559593550!,lush-proficient-bumblebee,0.050000,0.045243,1.986746,0.000000,1.986746,1.633131,-5.666618,0.000000,-5.666618,-19.400623,10.996000,37.494998,15.501060
222669300559593550!,lush-proficient-bumblebee,0.060000,0.062633,1.926406,0.000000,1.926406,1.835839,-6.369972,0.000000,-6.369972,-16.237750,8.797943,30.859522,12.968057
222669300559593550!,lush-proficient-bumblebee,0.070000,0.081883,1.859613,0.000000,1.859613,2.007148,-6.964379,0.000000,-6.964379,-13.419754,6.839562,24.947573,10.711250
222669300559593550!,lush-proficient-bumblebee,0.080000,0.102693,1.787407,0.000000,1.787407,2.150482,-7.461717,0.000000,-7.461717,-10.912115,5.096865,19.686732,8.702995
222669300559593550!,lush-proficient-bumblebee,0.090000,0.124801,1.710698,0.000000,1.710698,2.268922,-7.872679,0.000000,-7.872679,-8.683529,3.548096,15.011321,6.918220
222669300559593550!,lush-proficient-bumblebee,0.100000,0.147976,1.630287,0.000000,1.630287,2.365239,-8.206876,0.000000,-8.206876,-6.705696,2.173590,10.861973,5.334262
222669300559593550!,lush-proficient-bumblebee,0.110000,0.172012,1.546885,0.000000,1.546885,2.441920,-8.472944,0.000000,-8.472944,-4.953111,0.955622,7.185180,3.930696
222669300559593550!,lush-proficient-bumblebee,0.120000,0.196728,1.461127,0.000000,1.461127,2.501203,-8.678644,0.000000,-8.678644,-3.402819,-0.121762,3.932779,2.689136
222669300559593550!,lush-proficient-bumblebee,0.130000,0.221960,1.373578,0.000000,1.373578,2.545096,-8.830943,0.000000,-8.830943,-2.034155,-1.072923,1.061423,1.593035
222669300559593550!,lush-proficient-bumblebee,0.140000,0.247563,1.284738,0.000000,1.284738,2.575402,-8.936098,0.000000,-8.936098,-0.828521,-1.910785,-1.467909,0.627497
222669300559593550!,lush-proficient-bumblebee,0.150000,0.273411,1.195054,0.000000,1.195054,2.593739,-8.999724,0.000000,-8.999724,0.230832,-2.646987,-3.690352,-0.220891
222669300559593550!,lush-proficient-bumblebee,0.160000,0.299388,1.104917,0.000000,1.104917,2.601560,-9.026859,0.000000,-9.026859,1.158986,-3.292013,-5.637552,-0.964208
222669300559593550!,lush-proficient-bumblebee,0.170000,0.325397,1.014674,0.000000,1.014674,2.600166,-9.022024,0.000000,-9.022024,1.969529,-3.855305,-7.338011,-1.613336
222669300559593550!,lush-proficient-bumblebee,0.180000,0.351348,0.924628,0.000000,0.924628,2.590726,-8.989269,0.000000,-8.989269,2.674699,-4.345366,-8.817407,-2.178075
222669300559593550!,lush-proficient-bumblebee,0.190000,0.377166,0.835045,0.000000,0.835045,2.574286,-8.932225,0.000000,-8.932225,3.285521,-4.769860,-10.098866,-2.667255
222669300559593550!,lush-proficient-bumblebee,0.200000,0.402784,0.746156,0.000000,0.746156,2.551781,-8.854139,0.000000,-8.854139,3.811924,-5.135687,-11.203220,-3.088827
222669300559593550!,lush-proficient-bumblebee,0.210000,0.428144,0.658163,0.000000,0.658163,2.524051,-8.757922,0.000000,-8.757922,4.262850,-5.449061,-12.149231,-3.449954
222669300559593550!,lush-proficient-bumblebee,0.220000,0.453196,0.571238,0.000000,0.571238,2.491845,-8.646172,0.000000,-8.646172,4.646353,-5.715578,-12.953792,-3.757084
222669300559593550!,lush-proficient-bumblebee,0.230000,0.477897,0.485531,0.000000,0.485531,2.455831,-8.521213,0.000000,-8.521213,4.969684,-5.940279,-13.632115,-4.016025
222669300559593550!,lush-proficient-bumblebee,0.240000,0.502211,0.401167,0.000000,0.401167,2.416608,-8.385116,0.000000,-8.385116,5.239369,-6.127697,-14.197894,-4.232003
222669300559593550!,lush-proficient-bumblebee,0.250000,0.526107,0.318253,0.000000,0.318253,2.374707,-8.239729,0.000000,-8.239729,5.461282,-6.281918,-14.663453,-4.409724
222669300559593550!,lush-proficient-bumblebee,0.260000,0.549559,0.236878,0.000000,0.236878,2.330603,-8.086699,0.000000,-8.086699,5.640712,-6.406613,-15.039882,-4.553421
222669300559593550!,lush-proficient-bumblebee,0.270000,0.572546,0.157116,0.000000,0.157116,2.284718,-7.927488,0.000000,-7.927488,5.782411,-6.505088,-15.337158,-4.666902
222669300559593550!,lush-proficient-bumblebee,0.280000,0.595052,0.079026,0.000000,0.079026,2.237427,-7.763396,0.000000,-7.763396,5.890659,-6.580315,-15.564254,-4.753593
222669300559593550!,lush-proficient-bumblebee,0.290000,0.617064,0.002651,0.000000,0.002651,2.189060,-7.595575,0.000000,-7.595575,5.969332,-6.634990,-15.729305,-4.816599
222669300559593550!,lush-proficient-bumblebee,0.300000,0.638585,-0.072024,0.000000,-0.072024,2.139913,-7.425044,0.000000,-7.425044,6.022343,-6.671830,-15.840517,-4.859052
222669300559593550!,lush-proficient-bumblebee,0.310000,0.659610,-0.144975,0.000000,-0.144975,2.090240,-7.252688,0.000000,-7.252688,6.052750,-6.692961,-15.904308,-4.883404
222669300559593550!,lush-proficient-bumblebee,0.320000,0.680133,-0.216187,0.000000,-0.216187,2.040264,-7.079284,0.000000,-7.079284,6.063312,-6.700302,-15.926467,-4.891863
222669300559593550!,lush-proficient-bumblebee,0.330000,0.700156,-0.285663,0.000000,-0.285663,1.990184,-6.905516,0.000000,-6.905516,6.056585,-6.695627,-15.912355,-4.886476
222669300559593550!,lush-proficient-bumblebee,0.340000,0.719679,-0.353403,0.000000,-0.353403,1.940171,-6.731980,0.000000,-6.731980,6.034789,-6.680479,-15.866627,-4.869020
222669300559593550!,lush-proficient-bumblebee,0.350000,0.738704,-0.419415,0.000000,-0.419415,1.890373,-6.559194,0.000000,-6.559194,5.999907,-6.656238,-15.793448,-4.841084
222669300559593550!,lush-proficient-bumblebee,0.360000,0.757234,-0.483710,0.000000,-0.483710,1.840923,-6.387611,0.000000,-6.387611,5.953714,-6.624135,-15.696538,-4.804090
222669300559593550!,lush-proficient-bumblebee,0.370000,0.775273,-0.546302,0.000000,-0.546302,1.791930,-6.217618,0.000000,-6.217618,5.897793,-6.585273,-15.579219,-4.759306
222669300559593550!,lush-proficient-bumblebee,0.380000,0.792827,-0.607210,0.000000,-0.607210,1.743493,-6.049552,0.000000,-6.049552,5.833556,-6.540632,-15.444457,-4.707862
222669300559593550!,lush-proficient-bumblebee,0.390000,0.809901,-0.666455,0.000000,-0.666455,1.695694,-5.883698,0.000000,-5.883698,5.762264,-6.491087,-15.294891,-4.650767
222669300559593550!,lush-proficient-bumblebee,0.400000,0.826504,-0.724062,0.000000,-0.724062,1.648602,-5.720300,0.000000,-5.720300,5.685037,-6.437417,-15.132875,-4.588920
222669300559593550!,lush-proficient-bumblebee,0.410000,0.842641,-0.780056,0.000000,-0.780056,1.602277,-5.559562,0.000000,-5.559562,5.602873,-6.380317,-14.960499,-4.523117
222669300559593550!,lush-proficient-bumblebee,0.420000,0.858322,-0.834465,0.000000,-0.834465,1.556768,-5.401654,0.000000,-5.401654,5.516655,-6.320399,-14.779621,-4.454070
222669300559593550!,lush-proficient-bumblebee,0.430000,0.873555,-0.887318,0.000000,-0.887318,1.512115,-5.246717,0.000000,-5.246717,5.427171,-6.258211,-14.591889,-4.382406
