ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
2151871329691422965!,rebel-devious-beetle,0.000000,1.246422,-0.472507,1.360477,-1.465981,0.000000,0.000000,0.000000,0.000000,-739.999585,125.716651
2151871329691422965!,rebel-devious-beetle,0.010000,1.238529,-0.480413,1.351812,-1.473975,-1.578333,-1.575230,-1.737352,-1.593361,-514.792523,102.110389
2151871329691422965!,rebel-devious-beetle,0.020000,1.216633,-0.501597,1.328115,-1.495363,-2.802910,-2.648889,-3.008419,-2.671943,-352.113017,84.926040
2151871329691422965!,rebel-devious-beetle,0.030000,1.183716,-0.531616,1.293274,-1.525596,-3.779332,-3.337679,-3.960858,-3.357688,-236.631396,71.019707
2151871329691422965!,rebel-devious-beetle,0.040000,1.141940,-0.567108,1.249995,-1.561253,-4.567073,-3.741188,-4.689374,-3.754481,-155.381468,58.987027
2151871329691422965!,rebel-devious-beetle,0.050000,1.093014,-0.605603,1.200212,-1.599841,-5.202325,-3.937175,-5.255799,-3.942940,-98.365467,48.254001
2151871329691422965!,rebel-devious-beetle,0.060000,1.038352,-0.645306,1.145349,-1.639566,-5.709734,-3.983640,-5.701269,-3.982729,-58.271629,38.604769
2151871329691422965!,rebel-devious-beetle,0.070000,0.979154,-0.684927,1.086487,-1.679151,-6.107849,-3.922853,-6.053679,-3.917006,-29.920566,29.960667
2151871329691422965!,rebel-devious-beetle,0.080000,0.916459,-0.723539,1.024473,-1.717689,-6.411685,-3.785361,-6.332280,-3.776734,-9.701900,22.283851
2151871329691422965!,rebel-devious-beetle,0.090000,0.851166,-0.760480,0.959993,-1.754541,-6.633927,-3.593253,-6.550569,-3.584127,4.889156,15.539362
2151871329691422965!,rebel-devious-beetle,0.100000,0.784045,-0.795285,0.893606,-1.789265,-6.785522,-3.362625,-6.718093,-3.355192,15.598165,9.682856
2151871329691422965!,rebel-devious-beetle,0.110000,0.715765,-0.827627,0.825793,-1.821556,-6.875984,-3.105411,-6.841606,-3.101606,23.655528,4.660025
2151871329691422965!,rebel-devious-beetle,0.120000,0.646903,-0.857289,0.756975,-1.851213,-6.913571,-2.830672,-6.925841,-2.832031,29.939848,0.409714
2151871329691422965!,rebel-devious-beetle,0.130000,0.577959,-0.884131,0.687537,-1.878109,-6.905421,-2.545486,-6.974039,-2.553051,35.085163,-3.132062
2151871329691422965!,rebel-devious-beetle,0.140000,0.509363,-0.908078,0.617834,-1.902178,-6.857689,-2.255580,-6.988341,-2.269836,39.550465,-6.028487
2151871329691422965!,rebel-devious-beetle,0.150000,0.441474,-0.929114,0.548197,-1.923403,-6.775637,-1.965717,-6.970175,-1.986598,43.665553,-8.339464
2151871329691422965!,rebel-devious-beetle,0.160000,0.374605,-0.947264,0.478948,-1.941805,-6.663851,-1.680005,-6.920383,-1.706919,47.662222,-10.119938
2151871329691422965!,rebel-devious-beetle,0.170000,0.309027,-0.962591,0.410404,-1.957439,-6.526365,-1.402081,-6.839456,-1.433986,51.694230,-11.418944
2151871329691422965!,rebel-devious-beetle,0.180000,0.244976,-0.975193,0.342878,-1.970389,-6.366790,-1.135223,-6.727734,-1.170730,55.852432,-12.279598
2151871329691422965!,rebel-devious-beetle,0.190000,0.182656,-0.985199,0.276684,-1.980769,-6.188440,-0.882399,-6.585571,-0.919907,60.176859,-12.739648
2151871329691422965!,rebel-devious-beetle,0.200000,0.122241,-0.992767,0.212133,-1.988718,-5.994427,-0.646290,-6.413460,-0.684111,64.667022,-12.832363
2151871329691422965!,rebel-devious-beetle,0.210000,0.063875,-0.998078,0.149533,-1.994402,-5.787751,-0.429277,-6.212140,-0.465763,69.291060,-12.587543
2151871329691422965!,rebel-devious-beetle,0.220000,0.007644,-1.001339,0.089152,-1.998012,-5.571318,-0.233306,-5.982731,-0.266951,74.006150,-12.034417
2151871329691422965!,rebel-devious-beetle,0.230000,-0.046385,-1.002774,0.031252,-1.999756,-5.347979,-0.060012,-5.726599,-0.089496,78.752463,-11.200094
2151871329691422965!,rebel-devious-beetle,0.240000,-0.098176,-1.002617,-0.023928,-1.999857,-5.120527,0.089340,-5.445403,0.065152,83.464735,-10.111266
2151871329691422965!,rebel-devious-beetle,0.250000,-0.147750,-1.001110,-0.076211,-1.998547,-4.891665,0.213935,-5.141075,0.196047,88.088530,-8.796579
