ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
633971313555258469!,rebel-mauve-beetle,0.000000,-1.422876,2.541181,-1.257913,1.554881,0.000000,0.000000,0.000000,0.000000,275.014826,1171.771509,-1035.269463
633971313555258469!,rebel-mauve-beetle,0.010000,-1.410870,2.546368,-1.252899,1.558924,2.401770,1.031508,1.005529,0.808138,-74.127619,-232.066863,263.207828
633971313555258469!,rebel-mauve-beetle,0.020000,-1.388559,2.554702,-1.245276,1.565020,2.060542,0.636779,0.519975,0.413740,-2.427827,59.167456,-4.003438
633971313555258469!,rebel-mauve-beetle,0.030000,-1.366787,2.560495,-1.240962,1.568443,2.292271,0.519460,0.344272,0.272390,-17.453073,2.358094,51.194666
633971313555258469!,rebel-mauve-beetle,0.040000,-1.343240,2.564740,-1.238716,1.570217,2.416716,0.326592,0.106167,0.083753,-15.064737,16.351493,41.482241
633971313555258469!,rebel-mauve-beetle,0.050000,-1.318278,2.567001,-1.238782,1.570165,2.575455,0.121464,-0.118337,-0.093362,-16.422357,16.071770,45.552083
633971313555258469!,rebel-mauve-beetle,0.060000,-1.291691,2.567052,-1.241101,1.568333,2.741679,-0.116096,-0.344237,-0.272412,-17.253338,18.659389,47.521561
633971313555258469!,rebel-mauve-beetle,0.070000,-1.263368,2.564550,-1.245669,1.564707,2.921942,-0.390047,-0.567532,-0.451814,-18.351727,20.895425,50.348722
633971313555258469!,rebel-mauve-beetle,0.080000,-1.233166,2.559088,-1.252463,1.559274,3.115550,-0.707615,-0.787179,-0.632290,-19.505208,23.568558,53.256251
633971313555258469!,rebel-mauve-beetle,0.090000,-1.200948,2.550193,-1.261436,1.552024,3.322382,-1.075212,-1.000589,-0.813247,-20.681479,26.697210,56.145083
633971313555258469!,rebel-mauve-beetle,0.100000,-1.166582,2.537331,-1.272511,1.542957,3.541066,-1.498833,-1.204413,-0.993306,-21.785902,30.476870,58.698243
633971313555258469!,rebel-mauve-beetle,0.110000,-1.129953,2.519908,-1.285573,1.532091,3.769059,-1.983382,-1.394297,-1.169951,-22.701440,35.092633,60.534444
633971313555258469!,rebel-mauve-beetle,0.120000,-1.090975,2.497289,-1.300458,1.519477,4.002350,-2.532014,-1.564875,-1.339313,-23.275349,40.742358,61.164329
633971313555258469!,rebel-mauve-beetle,0.130000,-1.049602,2.468815,-1.316941,1.505213,4.235263,-3.145298,-1.709778,-1.495919,-23.316989,47.618784,59.987389
