ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
998124327476178496!,rebel-vivacious-beetle,0.000000,-1.422876,2.541181,-0.668210,1.885072,0.000000,0.000000,0.000000,0.000000,-1025.554888,-458.261592
998124327476178496!,rebel-vivacious-beetle,0.010000,-1.415908,2.544374,-0.662166,1.887203,1.394378,0.637582,1.208046,0.423869,27.119167,43.667548
998124327476178496!,rebel-vivacious-beetle,0.020000,-1.402719,2.549238,-0.649335,1.891656,1.243634,0.335186,1.357922,0.466124,-187.270685,-57.490608
998124327476178496!,rebel-vivacious-beetle,0.030000,-1.389445,2.551996,-0.633917,1.896879,1.411316,0.215458,1.724093,0.576174,-141.652126,-34.450586
998124327476178496!,rebel-vivacious-beetle,0.040000,-1.374808,2.553283,-0.615047,1.903081,1.516445,0.041781,2.046791,0.661491,-150.422805,-36.968300
998124327476178496!,rebel-vivacious-beetle,0.050000,-1.359019,2.552771,-0.592872,1.910106,1.641447,-0.143712,2.382240,0.739416,-148.805051,-34.203066
998124327476178496!,rebel-vivacious-beetle,0.060000,-1.341944,2.550264,-0.567311,1.917853,1.773220,-0.355884,2.720836,0.804838,-149.826994,-32.358505
998124327476178496!,rebel-vivacious-beetle,0.070000,-1.323481,2.545476,-0.538314,1.926193,1.918194,-0.598099,3.065689,0.856769,-150.705077,-30.115519
998124327476178496!,rebel-vivacious-beetle,0.080000,-1.303486,2.538075,-0.505816,1.934981,2.078935,-0.875964,3.416461,0.893085,-151.764616,-27.640954
998124327476178496!,rebel-vivacious-beetle,0.090000,-1.281783,2.527675,-0.469761,1.944049,2.258768,-1.194421,3.772409,0.911566,-152.678655,-24.805299
998124327476178496!,rebel-vivacious-beetle,0.100000,-1.258164,2.513842,-0.430102,1.953206,2.460765,-1.558017,4.131584,0.909787,-153.177484,-21.528003
998124327476178496!,rebel-vivacious-beetle,0.110000,-1.232392,2.496100,-0.386822,1.962236,2.687762,-1.970419,4.490750,0.885276,-152.903083,-17.718506
998124327476178496!,rebel-vivacious-beetle,0.120000,-1.204204,2.473941,-0.339943,1.970898,2.942087,-2.433943,4.845182,0.835702,-151.421900,-13.293946
998124327476178496!,rebel-vivacious-beetle,0.130000,-1.173319,2.446842,-0.289544,1.978930,3.225275,-2.948959,5.188521,0.759150,-148.214511,-8.186197
998124327476178496!,rebel-vivacious-beetle,0.140000,-1.139446,2.414289,-0.235778,1.986054,3.537703,-3.513230,5.512708,0.654453,-142.678254,-2.352924
998124327476178496!,rebel-vivacious-beetle,0.150000,-1.102300,2.375802,-0.178892,1.991983,3.878207,-4.121260,5.808031,0.521595,-134.143535,4.210870
998124327476178496!,rebel-vivacious-beetle,0.160000,-1.061624,2.330985,-0.119243,1.996442,4.243729,-4.763789,6.063429,0.362156,-121.919686,11.458308
998124327476178496!,rebel-vivacious-beetle,0.170000,-1.017213,2.279596,-0.057335,1.999178,4.629164,-5.427670,6.267308,0.179743,-105.348298,19.289020
998124327476178496!,rebel-vivacious-beetle,0.180000,-0.968919,2.221514,0.006236,1.999990,5.027189,-6.095458,6.407338,-0.019979,-83.794920,27.594822
998124327476178496!,rebel-vivacious-beetle,0.190000,-0.916680,2.156813,0.070749,1.998748,5.428299,-6.746171,6.471534,-0.229071,-56.899709,36.202379
998124327476178496!,rebel-vivacious-beetle,0.200000,-0.860544,2.085793,0.135364,1.995414,5.821371,-7.356284,6.449254,-0.437501,-24.636302,44.916350
998124327476178496!,rebel-vivacious-beetle,0.210000,-0.800678,2.008999,0.199143,1.990061,6.194503,-7.901268,6.332162,-0.633652,12.598001,53.544432
998124327476178496!,rebel-vivacious-beetle,0.220000,-0.737371,1.927217,0.261078,1.982886,6.536144,-8.357474,6.115057,-0.805144,53.945345,61.924264
998124327476178496!,rebel-vivacious-beetle,0.230000,-0.671023,1.841457,0.320125,1.974214,6.836369,-8.704066,5.796422,-0.939909,98.127508,69.945431
998124327476178496!,rebel-vivacious-beetle,0.240000,-0.602014,1.752977,0.375368,1.964459,7.087622,-8.923949,5.379092,-1.027834,143.670175,77.610422
998124327476178496!,rebel-vivacious-beetle,0.250000,-0.530640,1.663150,0.426104,1.954082,7.284641,-9.005018,4.869214,-1.061773,188.783636,84.904491
998124327476178496!,rebel-vivacious-beetle,0.260000,-0.457451,1.573302,0.471446,1.943641,7.427026,-8.942913,4.275022,-1.036942,231.460670,91.716039
998124327476178496!,rebel-vivacious-beetle,0.270000,-0.382988,1.484816,0.510589,1.933727,7.519012,-8.738273,3.607672,-0.952584,270.178646,98.037594
998124327476178496!,rebel-vivacious-beetle,0.280000,-0.307735,1.399072,0.542843,1.924921,7.568016,-8.395370,2.879875,-0.812148,303.777893,103.837191
998124327476178496!,rebel-vivacious-beetle,0.290000,-0.232092,1.317413,0.567654,1.917751,7.582932,-7.920428,2.105125,-0.623117,331.343857,108.976471
998124327476178496!,rebel-vivacious-beetle,0.300000,-0.156373,1.241122,0.584605,1.912652,7.572230,-7.320177,1.297572,-0.396605,352.027376,113.145149
