ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
2108464716990336752!,rebel-wine-beetle,0.000000,1.132389,-1.994306,1.645902,-1.136224,0.000000,0.000000,0.000000,0.000000,-0.565592,-433.644772,-558.444575,-5.835890
2108464716990336752!,rebel-wine-beetle,0.010000,1.141780,-1.985730,1.652803,-1.126163,1.875830,1.716028,1.372949,2.014997,88.864030,-97.981039,-233.136630,-71.692075
2108464716990336752!,rebel-wine-beetle,0.020000,1.162172,-1.963740,1.669154,-1.101783,2.198582,2.681480,1.889863,2.863060,110.524093,-2.715869,-136.338267,-87.440231
2108464716990336752!,rebel-wine-beetle,0.030000,1.183577,-1.933339,1.689298,-1.070642,2.079213,3.396495,2.132741,3.365117,112.563164,23.413470,-105.098851,-88.674107
2108464716990336752!,rebel-wine-beetle,0.040000,1.203175,-1.896291,1.711345,-1.035035,1.839909,4.007198,2.270076,3.753385,109.462668,30.501892,-92.232901,-86.119574
2108464716990336752!,rebel-wine-beetle,0.050000,1.220214,-1.853413,1.734479,-0.995782,1.570647,4.558200,2.348966,4.091493,105.078776,32.524688,-84.355882,-82.623545
2108464716990336752!,rebel-wine-beetle,0.060000,1.234521,-1.805227,1.758185,-0.953303,1.296408,5.063187,2.383117,4.395204,100.248969,33.183341,-77.701800,-78.794660
2108464716990336752!,rebel-wine-beetle,0.070000,1.246082,-1.752177,1.782038,-0.907931,1.024898,5.525646,2.377707,4.666836,95.035476,33.366937,-71.199093,-74.669243
2108464716990336752!,rebel-wine-beetle,0.080000,1.254942,-1.694688,1.805660,-0.859996,0.759600,5.945249,2.336169,4.905051,89.349683,33.225547,-64.547764,-70.175048
2108464716990336752!,rebel-wine-beetle,0.090000,1.261175,-1.633204,1.828701,-0.809848,0.503165,6.320096,2.261995,5.107762,83.121129,32.736902,-57.691838,-65.256676
2108464716990336752!,rebel-wine-beetle,0.100000,1.264891,-1.568208,1.850848,-0.757866,0.258135,6.647828,2.159202,5.273170,76.340763,31.861725,-50.671079,-59.907539
2108464716990336752!,rebel-wine-beetle,0.110000,1.266231,-1.500211,1.871833,-0.704443,0.027028,6.926197,2.032283,5.400141,69.068623,30.585757,-43.576034,-54.175322
2108464716990336752!,rebel-wine-beetle,0.120000,1.265351,-1.429723,1.891438,-0.649970,-0.187782,7.153439,1.886001,5.488335,61.425978,28.925447,-36.531240,-48.155684
2108464716990336752!,rebel-wine-beetle,0.130000,1.262425,-1.357261,1.909496,-0.594831,-0.384264,7.328691,1.725262,5.538346,53.580516,26.926596,-29.679188,-41.980566
2108464716990336752!,rebel-wine-beetle,0.140000,1.257648,-1.283342,1.925889,-0.539398,-0.560879,7.452205,1.554909,5.551718,45.727843,24.657969,-23.166305,-35.803654
2108464716990336752!,rebel-wine-beetle,0.150000,1.251222,-1.208470,1.940548,-0.484018,-0.716682,7.525448,1.379530,5.530873,38.071331,22.203134,-17.129275,-29.784562
2108464716990336752!,rebel-wine-beetle,0.160000,1.243356,-1.133125,1.953445,-0.429013,-0.851362,7.551072,1.203287,5.478980,30.802866,19.651832,-11.683010,-24.073729
2108464716990336752!,rebel-wine-beetle,0.170000,1.234256,-1.057757,1.964592,-0.374669,-0.965229,7.532772,1.029792,5.399760,24.086778,17.091949,-6.911701,-18.799833
2108464716990336752!,rebel-wine-beetle,0.180000,1.224125,-0.982773,1.974034,-0.321232,-1.059147,7.475064,0.862017,5.297275,18.048641,14.602916,-2.863854,-14.061025
2108464716990336752!,rebel-wine-beetle,0.190000,1.213153,-0.908535,1.981839,-0.268909,-1.134435,7.383019,0.702275,5.175707,12.769681,12.251093,0.448468,-9.920574
2108464716990336752!,rebel-wine-beetle,0.200000,1.201515,-0.835355,1.988098,-0.217870,-1.192748,7.261977,0.552226,5.039144,8.286587,10.087299,3.046691,-6.406759
2108464716990336752!,rebel-wine-beetle,0.210000,1.189370,-0.763493,1.992911,-0.168243,-1.235943,7.117279,0.412937,4.891421,4.595761,8.146336,4.980015,-3.516229
