ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
2290137256892956843!,talented-antique-butterfly,0.000000,2.047652,-1.165329,1.700388,-0.227562,0.918378,0.395704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,182.913852,123.906516,-41.746156,-163.668639,-16.561039,32.635305
2290137256892956843!,talented-antique-butterfly,0.010000,2.037940,-1.168889,1.696683,-0.228919,0.917460,0.397828,-1.940723,-0.706930,-0.741185,-0.271436,-0.183145,0.422365,166.270083,99.586761,-4.323782,-149.280691,18.358898,29.803499
2290137256892956843!,talented-antique-butterfly,0.020000,2.010655,-1.178062,1.686220,-0.232154,0.914724,0.404080,-3.516024,-1.117674,-1.352319,-0.375548,-0.363681,0.823271,153.487599,81.065958,22.454324,-137.931817,43.090866,26.484935
2290137256892956843!,talented-antique-butterfly,0.030000,1.968946,-1.190161,1.670085,-0.235864,0.910193,0.414185,-4.823223,-1.289038,-1.875121,-0.365769,-0.542459,1.192082,141.222996,66.569978,39.208814,-126.822323,57.894430,22.900591
2290137256892956843!,talented-antique-butterfly,0.040000,1.915187,-1.203069,1.649038,-0.239138,0.903891,0.427763,-5.919952,-1.279500,-2.332691,-0.289028,-0.717359,1.515827,127.947355,54.783757,47.607104,-114.707416,64.270674,19.219251
2290137256892956843!,talented-antique-butterfly,0.050000,1.851307,-1.215232,1.623664,-0.241487,0.895873,0.444311,-6.838536,-1.141572,-2.736600,-0.182620,-0.884324,1.783078,113.089854,44.779114,49.530471,-101.164047,64.042441,15.605206
2290137256892956843!,talented-antique-butterfly,0.060000,1.779001,-1.225581,1.594478,-0.242753,0.886242,0.463223,-7.596003,-0.919662,-3.091326,-0.073920,-1.038024,1.985955,96.645889,35.954742,46.745109,-86.253205,58.983799,12.227645
2290137256892956843!,talented-antique-butterfly,0.070000,1.699845,-1.233458,1.561970,-0.243009,0.875162,0.483830,-8.201283,-0.650039,-3.397308,0.018698,-1.172548,2.120928,78.990054,27.976761,40.798636,-70.355071,50.694092,9.246466
2290137256892956843!,talented-antique-butterfly,0.080000,1.615354,-1.238537,1.526644,-0.242480,0.862859,0.505444,-8.660409,-0.361441,-3.653256,0.084504,-1.282176,2.188843,60.757309,20.714756,33.001343,-54.061443,40.562827,6.788523
2290137256892956843!,talented-antique-butterfly,0.090000,1.527000,-1.240751,1.489025,-0.241472,0.849619,0.527397,-8.980126,-0.075714,-3.857940,0.118939,-1.362193,2.194449,42.729244,14.172964,24.427624,-38.073022,29.755314,4.924809
2290137256892956843!,talented-antique-butterfly,0.100000,1.436176,-1.240222,1.449649,-0.240313,0.835767,0.549085,-9.169898,0.191601,-4.011410,0.122096,-1.409536,2.145466,25.710099,8.422448,15.915954,-23.090358,19.196913,3.657947
2290137256892956843!,talented-antique-butterfly,0.110000,1.344139,-1.237199,1.409027,-0.239306,0.821643,0.570002,-9.242510,0.430637,-4.115626,0.097264,-1.423146,2.051426,10.405557,3.541933,8.070575,-9.710738,9.561101,2.924619
2290137256892956843!,talented-antique-butterfly,0.120000,1.251973,-1.231981,1.367631,-0.238692,0.807576,0.589764,-9.213634,0.636327,-4.174534,0.049580,-1.404000,1.922525,-2.670190,-0.424035,1.273883,1.647217,1.273120,2.612187
2290137256892956843!,talented-antique-butterfly,0.130000,1.160567,-1.224893,1.325867,-0.238650,0.793866,0.608093,-9.100794,0.807407,-4.193822,-0.015033,-1.354804,1.768698,-13.241608,-3.486323,-4.285725,10.777769,-5.464866,2.582924
2290137256892956843!,talented-antique-butterfly,0.140000,1.070634,-1.216262,1.284083,-0.239308,0.780782,0.624804,-8.922078,0.945323,-4.180372,-0.090666,-1.279514,1.598937,-21.269177,-5.711914,-8.574429,17.679290,-10.631291,2.699146
2290137256892956843!,talented-antique-butterfly,0.150000,0.982722,-1.206392,1.242556,-0.240738,0.768554,0.639785,-8.694807,1.053229,-4.141541,-0.171944,-1.182767,1.420820,-26.909377,-7.210697,-11.669747,22.514810,-14.335310,2.842632
2290137256892956843!,talented-antique-butterfly,0.160000,0.897228,-1.195558,1.201499,-0.242972,0.757367,0.652990,-8.434479,1.135141,-4.084481,-0.254313,-1.069361,1.240294,-30.454170,-8.116230,-13.718415,25.557048,-16.766715,2.925538
2290137256892956843!,talented-antique-butterfly,0.170000,0.814412,-1.183996,1.161057,-0.246000,0.747363,0.664416,-8.154129,1.195296,-4.015608,-0.334135,-0.943845,1.061678,-32.266860,-8.566915,-14.899912,27.132390,-18.152028,2.893054
2290137256892956843!,talented-antique-butterfly,0.180000,0.734420,-1.171904,1.121323,-0.249784,0.738643,0.674097,-7.864107,1.237706,-3.940286,-0.408651,-0.810255,0.887838,-32.726952,-8.691444,-15.398644,27.574125,-18.720964,2.720011
2290137256892956843!,talented-antique-butterfly,0.190000,0.657312,-1.159440,1.082341,-0.254260,0.731270,0.682088,-7.572174,1.265915,-3.862701,-0.475874,-0.671988,0.720441,-32.190424,-8.599884,-15.385609,27.189761,-18.684450,2.404256
2290137256892956843!,talented-antique-butterfly,0.200000,0.583084,-1.146734,1.044119,-0.259352,0.725278,0.688456,-7.283810,1.282880,-3.785883,-0.534452,-0.531781,0.560222,-30.966282,-8.379959,-15.008456,26.242598,-18.222966,1.959182
2290137256892956843!,talented-antique-butterfly,0.210000,0.511684,-1.133887,1.006642,-0.264970,0.720678,0.693270,-7.002620,1.290976,-3.711828,-0.583544,-0.391763,0.407251,-29.306767,-8.097185,-14.387936,24.944894,-17.482705,1.407006
2290137256892956843!,talented-antique-butterfly,0.220000,0.443036,-1.120982,0.969879,-0.271019,0.717461,0.696599,-6.730745,1.292039,-3.641666,-0.622705,-0.253546,0.261139,-27.407230,-7.797357,-13.618531,23.459012,-16.576815,0.773517
2290137256892956843!,talented-antique-butterfly,0.230000,0.377044,-1.108085,0.933791,-0.277403,0.715606,0.698505,-6.469252,1.287457,-3.575841,-0.651791,-0.118319,0.121216,-25.411730,-7.510090,-12.771404,21.903114,-15.589405,0.084446
2290137256892956843!,talented-antique-butterfly,0.240000,0.313609,-1.095251,0.898338,-0.284022,0.715080,0.699042,-6.218446,1.278252,-3.514282,-0.670896,0.013048,-0.013348,-23.421275,-7.252555,-11.898286,20.358788,-14.580622,-0.636752
2290137256892956843!,talented-antique-butterfly,0.250000,0.252628,-1.082527,0.863481,-0.290783,0.715845,0.698259,-5.978135,1.265167,-3.456562,-0.680299,0.139922,-0.143446,-21.502654,-7.032865,-11.035461,18.878933,-13.591751,-1.370011
2290137256892956843!,talented-antique-butterfly,0.260000,0.194004,-1.069954,0.829187,-0.297593,0.717857,0.696191,-5.747820,1.248730,-3.402027,-0.680429,0.261833,-0.269981,-19.696758,-6.852929,-10.207359,17.494989,-12.649774,-2.098921
2290137256892956843!,talented-antique-butterfly,0.270000,0.137642,-1.057570,0.795428,-0.304365,0.721066,0.692867,-5.526814,1.229325,-3.349872,-0.671834,0.378420,-0.393821,-18.024642,-6.710449,-9.429454,16.222224,-11.770973,-2.810985
2290137256892956843!,talented-antique-butterfly,0.280000,0.083457,-1.045406,0.762185,-0.311017,0.725419,0.688307,-5.314356,1.207228,-3.299236,-0.655163,0.489389,-0.515775,-16.493884,-6.600723,-8.710820,15.065065,-10.964122,-3.497000
2290137256892956843!,talented-antique-butterfly,0.290000,0.031370,-1.033494,0.729450,-0.317474,0.730862,0.682525,-5.109676,1.182643,-3.249268,-0.631152,0.594478,-0.636580,-15.102912,-6.517781,-8.055996,14.020708,-10.232777,-4.150536
2290137256892956843!,talented-antique-butterfly,0.300000,-0.018689,-1.021863,0.697220,-0.323670,0.737337,0.675525,-4.912037,1.155725,-3.199165,-0.600610,0.693443,-0.756895,-13.844298,-6.455148,-7.466422,13.081813,-9.577007,-4.767367
2290137256892956843!,talented-antique-butterfly,0.310000,-0.066786,-1.010541,0.665501,-0.329545,0.744783,0.667307,-4.720760,1.126596,-3.148205,-0.564401,0.786037,-0.877297,-12.707223,-6.406333,-6.941523,12.238500,-8.994689,-5.344903
2290137256892956843!,talented-antique-butterfly,0.320000,-0.112978,-0.999554,0.634306,-0.335049,0.753135,0.657866,-4.535238,1.095355,-3.095767,-0.523435,0.872006,-0.998286,-11.679307,-6.365122,-6.479536,11.479799,-8.482474,-5.881659
2290137256892956843!,talented-antique-butterfly,0.330000,-0.157318,-0.988926,0.603653,-0.340140,0.762328,0.647190,-4.354948,1.062089,-3.041345,-0.478654,0.951083,-1.120285,-10.747959,-6.325750,-6.078147,10.794700,-8.036515,-6.376773
2290137256892956843!,talented-antique-butterfly,0.340000,-0.199856,-0.978683,0.573564,-0.344788,0.772293,0.635267,-4.179447,1.026875,-2.984553,-0.431023,1.022990,-1.243647,-9.901373,-6.282973,-5.734974,10.172912,-7.653016,-6.829592
2290137256892956843!,talented-antique-butterfly,0.350000,-0.240634,-0.968845,0.544065,-0.348969,0.782956,0.622078,-4.008380,0.989780,-2.925121,-0.381513,1.087430,-1.368655,-9.129231,-6.232090,-5.447941,9.605391,-7.328633,-7.239330
2290137256892956843!,talented-antique-butterfly,0.360000,-0.279699,-0.959433,0.515184,-0.352670,0.794240,0.607605,-3.841472,0.950864,-2.862905,-0.331097,1.144103,-1.495531,-8.423410,-6.169031,-5.215598,9.084886,-7.060856,-7.604804
2290137256892956843!,talented-antique-butterfly,0.370000,-0.317136,-0.950388,0.486933,-0.355852,0.806035,0.591868,-3.678474,0.910130,-2.797945,-0.280724,1.192815,-1.624435,-7.783785,-6.092745,-5.038544,8.610960,-6.850092,-7.924594
2290137256892956843!,talented-antique-butterfly,0.380000,-0.352984,-0.941731,0.459338,-0.358522,0.818262,0.574845,-3.519240,0.867588,-2.730279,-0.231315,1.233264,-1.755487,-7.203779,-5.999377,-4.915742,8.177522,-6.694330,-8.196798
2290137256892956843!,talented-antique-butterfly,0.390000,-0.387276,-0.933481,0.432428,-0.360693,0.830838,0.556514,-3.363714,0.823243,-2.660043,-0.183766,1.265133,-1.888760,-6.680012,-5.885673,-4.847390,7.781006,-6.593036,-8.418577
2290137256892956843!,talented-antique-butterfly,0.400000,-0.420049,-0.925659,0.406226,-0.362392,0.843678,0.536850,-3.211927,0.777095,-2.587465,-0.138951,1.288091,-2.024280,-6.211914,-5.748858,-4.834803,7.420063,-6.547004,-8.586212
2290137256892956843!,talented-antique-butterfly,0.410000,-0.451338,-0.918285,0.380757,-0.363651,0.856691,0.515830,-3.063994,0.729131,-2.512857,-0.097718,1.301800,-2.162032,-5.801281,-5.586546,-4.880256,7.095198,-6.558161,-8.695220
2290137256892956843!,talented-antique-butterfly,0.420000,-0.481180,-0.911379,0.356038,-0.364511,0.869785,0.493431,-2.920119,0.679322,-2.436613,-0.060893,1.305909,-2.301963,-5.451762,-5.396650,-4.986780,6.808369,-6.629325,-8.740524
