ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
334664921634572392!,talented-ruddy-butterfly,0.000000,-2.109967,-0.053881,-1.488510,-0.837329,-0.999391,0.034888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.127499,325.545483,142.635327
334664921634572392!,talented-ruddy-butterfly,0.010000,-2.106544,-0.046845,-1.488481,-0.832975,-0.999233,0.039170,0.684618,1.404025,0.006277,0.870706,0.033532,0.855417,43.352856,262.413313,115.267467
334664921634572392!,talented-ruddy-butterfly,0.020000,-2.096861,-0.027324,-1.488314,-0.820842,-0.998694,0.051093,1.253052,2.493866,0.028430,1.554707,0.078112,1.526809,31.004215,211.955712,93.006625
334664921634572392!,talented-ruddy-butterfly,0.030000,-2.081897,0.001812,-1.487819,-0.802595,-0.997616,0.069013,1.739316,3.322022,0.072172,2.090786,0.141923,2.051557,21.436036,171.935927,74.686086
334664921634572392!,talented-ruddy-butterfly,0.040000,-2.062401,0.038158,-1.486792,-0.779567,-0.995796,0.091595,2.159285,3.936196,0.134411,2.510857,0.226195,2.459126,14.877893,140.285326,59.460520
334664921634572392!,talented-ruddy-butterfly,0.050000,-2.039001,0.079784,-1.485083,-0.752787,-0.993039,0.117784,2.519549,4.377837,0.208686,2.840396,0.328843,2.772484,11.016606,115.216137,46.713029
334664921634572392!,talented-ruddy-butterfly,0.060000,-2.012288,0.125142,-1.482610,-0.723058,-0.989177,0.146726,2.822785,4.682042,0.288206,3.099266,0.446406,3.009518,9.326728,95.260844,35.992535
334664921634572392!,talented-ruddy-butterfly,0.070000,-1.982823,0.172985,-1.479345,-0.691023,-0.984081,0.177720,3.070678,4.877980,0.367256,3.302633,0.575044,3.184174,9.246864,79.264457,26.966398
334664921634572392!,talented-ruddy-butterfly,0.080000,-1.951148,0.222358,-1.475313,-0.657177,-0.977659,0.210199,3.265121,4.989797,0.441442,3.462163,0.711108,3.307443,10.256417,66.334032,19.384884
334664921634572392!,talented-ruddy-butterfly,0.090000,-1.917786,0.272520,-1.470579,-0.621910,-0.969852,0.243695,3.408919,5.037280,0.507847,3.586771,0.851324,3.388080,11.917648,55.795497,13.053911
334664921634572392!,talented-ruddy-butterfly,0.100000,-1.883224,0.322911,-1.465229,-0.585538,-0.960634,0.277818,3.505877,5.036527,0.564866,3.683311,0.992877,3.433156,13.886494,47.145243,7.815129
334664921634572392!,talented-ruddy-butterfly,0.110000,-1.847912,0.373114,-1.459363,-0.548314,-0.950003,0.312240,3.560641,5.000525,0.611950,3.757115,1.133415,3.448462,15.909135,40.007014,3.532439
334664921634572392!,talented-ruddy-butterfly,0.120000,-1.812249,0.422830,-1.453079,-0.510442,-0.937980,0.346688,3.578418,4.939647,0.649342,3.812392,1.271017,3.438792,17.811310,34.096480,0.083740
334664921634572392!,talented-ruddy-butterfly,0.130000,-1.776581,0.471851,-1.446473,-0.472093,-0.924603,0.380932,3.564668,4.862075,0.677826,3.852515,1.404147,3.408161,19.484497,29.194010,-2.643385
334664921634572392!,talented-ruddy-butterfly,0.140000,-1.741200,0.520043,-1.439631,-0.433401,-0.909922,0.414778,3.524824,4.774169,0.698524,3.880225,1.531598,3.359951,20.871481,25.124981,-4.753331
334664921634572392!,talented-ruddy-butterfly,0.150000,-1.706346,0.567328,-1.432625,-0.394481,-0.894001,0.448065,3.464064,4.680777,0.712720,3.897773,1.652438,3.297028,21.952808,21.746345,-6.342595
