ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
1683312529601304954!,talented-steel-butterfly,0.000000,0.097082,-2.420335,0.411327,-1.470993,-0.416048,-0.909343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,753.860574,-381.460850,-195.597617
1683312529601304954!,talented-steel-butterfly,0.010000,0.091807,-2.413137,0.409823,-1.465052,-0.420256,-0.907406,-1.053009,1.439135,-0.302035,1.187237,-0.838676,0.388425,592.475327,-349.019991,-126.386506
1683312529601304954!,talented-steel-butterfly,0.020000,0.077541,-2.392392,0.405937,-1.447852,-0.431895,-0.901924,-1.798258,2.711627,-0.477665,2.252485,-1.482729,0.710020,482.846131,-325.652867,-80.922385
1683312529601304954!,talented-steel-butterfly,0.030000,0.056881,-2.359460,0.400663,-1.420410,-0.449212,-0.893425,-2.332628,3.877636,-0.581463,3.236543,-1.973178,0.992109,405.942802,-304.862757,-52.370679
1683312529601304954!,talented-steel-butterfly,0.040000,0.031591,-2.315238,0.394517,-1.383420,-0.470819,-0.882230,-2.723249,4.961758,-0.653138,4.155487,-2.337446,1.247425,348.137360,-282.970892,-35.189586
1683312529601304954!,talented-steel-butterfly,0.050000,0.002890,-2.260527,0.387688,-1.337527,-0.495541,-0.868585,-3.014184,5.965451,-0.719497,5.008797,-2.593327,1.479533,299.895151,-257.833901,-25.170041
1683312529601304954!,talented-steel-butterfly,0.060000,-0.028361,-2.196189,0.380144,-1.283433,-0.522350,-0.852731,-3.233483,6.876686,-0.797105,5.786280,-2.753558,1.686722,254.893418,-228.402506,-19.238325
1683312529601304954!,talented-steel-butterfly,0.070000,-0.061521,-2.123250,0.371733,-1.221978,-0.550333,-0.834945,-3.398388,7.676472,-0.894471,6.472804,-2.828776,1.864515,209.554276,-194.643589,-15.277608
1683312529601304954!,talented-steel-butterfly,0.080000,-0.096081,-2.042945,0.362249,-1.154163,-0.578679,-0.815556,-3.519402,8.344686,-1.014005,7.052695,-2.829525,2.007694,162.674686,-157.507474,-11.973012
1683312529601304954!,talented-steel-butterfly,0.090000,-0.131614,-1.956708,0.351485,-1.081142,-0.606685,-0.794942,-3.603368,8.865184,-1.153855,7.513647,-2.767309,2.111957,114.964530,-118.770485,-8.665361
1683312529601304954!,talented-steel-butterfly,0.100000,-0.167753,-1.866107,0.339268,-1.004173,-0.633769,-0.773523,-3.655664,9.229624,-1.309678,7.849628,-2.654772,2.175129,68.404687,-80.698035,-5.190097
