ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
652788322344326427!,talented-zippy-butterfly,0.000000,-1.806083,-1.588326,-0.855990,-1.276362,-0.959493,-0.281732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-979.223026,-81.485238,102.059775,-745.300719
652788322344326427!,talented-zippy-butterfly,0.010000,-1.806430,-1.578744,-0.854847,-1.271354,-0.960873,-0.276990,-0.067006,1.914295,0.227959,1.001176,-0.273204,0.947739,-763.586574,-53.255886,93.936299,-579.091039
652788322344326427!,talented-zippy-butterfly,0.020000,-1.806676,-1.552200,-0.851108,-1.257431,-0.964554,-0.263887,0.023196,3.392374,0.519675,1.782911,-0.457259,1.671362,-607.010225,-32.337974,88.304134,-458.823663
652788322344326427!,talented-zippy-butterfly,0.030000,-1.805378,-1.512440,-0.844214,-1.236464,-0.969683,-0.244367,0.242805,4.554965,0.859003,2.408878,-0.561773,2.229195,-491.116968,-17.448438,82.912776,-370.548372
652788322344326427!,talented-zippy-butterfly,0.040000,-1.801415,-1.462219,-0.833796,-1.209801,-0.975524,-0.219895,0.554874,5.480859,1.222790,2.920476,-0.599500,2.659574,-402.404754,-7.230965,76.767709,-303.802569
652788322344326427!,talented-zippy-butterfly,0.050000,-1.794026,-1.403641,-0.819713,-1.178447,-0.981470,-0.191616,0.923188,6.220383,1.588106,3.343582,-0.583291,2.987655,-331.228708,-0.515489,69.495522,-250.982997
652788322344326427!,talented-zippy-butterfly,0.060000,-1.782808,-1.338416,-0.802045,-1.143212,-0.987040,-0.160473,1.315669,6.804981,1.934979,3.693376,-0.525176,3.230266,-271.038115,3.624110,61.065810,-206.836099
652788322344326427!,talented-zippy-butterfly,0.070000,-1.767652,-1.268005,-0.781061,-1.104794,-0.991869,-0.127266,1.705582,7.254379,2.247571,3.978132,-0.436171,3.399371,-217.759392,5.893951,51.668826,-168.025172
652788322344326427!,talented-zippy-butterfly,0.080000,-1.748695,-1.193712,-0.757165,-1.063829,-0.995695,-0.092693,2.071781,7.581827,2.514495,4.202143,-0.326239,3.504404,-169.252430,6.828285,41.650728,-132.735132
652788322344326427!,talented-zippy-butterfly,0.090000,-1.726266,-1.116732,-0.730865,-1.020928,-0.998353,-0.057366,2.398751,7.797875,2.728863,4.368013,-0.204204,3.553784,-124.789875,6.835245,31.457154,-100.284426
652788322344326427!,talented-zippy-butterfly,0.100000,-1.700829,-1.038162,-0.702721,-0.976681,-0.999762,-0.021816,2.676503,7.912841,2.888066,4.478293,-0.077591,3.555730,-84.546721,6.230873,21.569294,-70.736590
652788322344326427!,talented-zippy-butterfly,0.110000,-1.672925,-0.958985,-0.673299,-0.931643,-0.999909,0.013516,2.900205,7.938057,2.993244,4.536444,0.047561,3.518533,-49.125010,5.260637,12.436027,-44.531372
652788322344326427!,talented-zippy-butterfly,0.120000,-1.643112,-0.880045,-0.643132,-0.886323,-0.998834,0.048277,3.069538,7.886169,3.048575,4.547225,0.166770,3.450430,-19.159370,4.111447,4.414095,-22.172423
652788322344326427!,talented-zippy-butterfly,0.130000,-1.611926,-0.802046,-0.612692,-0.841166,-0.996616,0.082199,3.187784,7.770819,3.060385,4.516628,0.277073,3.359359,4.962558,2.920329,-2.270467,-4.000243
