ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
591733868257132539!,thoughtful-antique-butterfly,0.000000,0.710217,-1.364609,-0.651897,0.099851,-0.269043,0.421445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-117.988083,-346.156165,106.412719,209.291053,36.493226,-462.957810
591733868257132539!,thoughtful-antique-butterfly,0.010000,0.725567,-1.349779,-0.651250,0.100867,-0.268065,0.422067,3.053256,2.975473,0.130826,0.201779,0.195750,0.124326,-49.046642,-163.613499,47.327824,95.207804,14.059944,-227.227231
591733868257132539!,thoughtful-antique-butterfly,0.020000,0.762513,-1.312606,-0.649815,0.103490,-0.265691,0.423566,4.317124,4.469904,0.157498,0.321343,0.279285,0.175188,-16.458485,-77.983845,20.034712,41.454743,3.995126,-116.567224
591733868257132539!,thoughtful-antique-butterfly,0.030000,0.807799,-1.263901,-0.648347,0.107099,-0.262749,0.425398,4.726551,5.274366,0.136908,0.399683,0.309191,0.190973,-1.587327,-37.463953,7.490101,16.298590,-0.368699,-63.422059
591733868257132539!,thoughtful-antique-butterfly,0.040000,0.855165,-1.208840,-0.647177,0.111374,-0.259636,0.427304,4.738958,5.735642,0.098081,0.454539,0.313393,0.190422,4.859282,-17.947477,1.696763,4.590612,-2.203816,-36.978447
591733868257132539!,thoughtful-antique-butterfly,0.050000,0.901725,-1.150071,-0.646420,0.116124,-0.256544,0.429168,4.570218,6.014831,0.055138,0.494351,0.305458,0.182594,7.310282,-8.242869,-1.049008,-0.776825,-2.972811,-23.030919
591733868257132539!,thoughtful-antique-butterfly,0.060000,0.946173,-1.089039,-0.646082,0.121218,-0.253560,0.430938,4.321281,6.189236,0.014774,0.523450,0.292161,0.171905,7.845220,-3.155562,-2.448907,-3.121167,-3.335665,-14.995350
591733868257132539!,thoughtful-antique-butterfly,0.070000,0.987947,-1.026613,-0.646123,0.126563,-0.250720,0.432596,4.039761,6.296853,-0.019907,0.544236,0.277044,0.160566,7.441209,-0.273557,-3.278724,-3.992823,-3.583266,-9.814681
591733868257132539!,thoughtful-antique-butterfly,0.080000,1.026836,-0.963374,-0.646478,0.132080,-0.248033,0.434142,3.748708,6.356987,-0.047557,0.558166,0.262079,0.149730,6.564368,1.523322,-3.886986,-4.121884,-3.837941,-6.071960
591733868257132539!,thoughtful-antique-butterfly,0.090000,1.062811,-0.899745,-0.647071,0.137705,-0.245490,0.435585,3.459771,6.380081,-0.067709,0.566233,0.248443,0.140019,5.444786,2.756035,-4.425454,-3.858295,-4.145376,-3.112976
