ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
106335065170199676!,thoughtful-ruddy-butterfly,0.000000,1.660480,1.997172,0.229118,0.600318,0.472496,0.163548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-79.507976,-0.205589,-105.439450
106335065170199676!,thoughtful-ruddy-butterfly,0.010000,1.656374,1.998838,0.227845,0.599086,0.472646,0.163113,-0.820301,0.332216,-0.253770,-0.245962,0.029912,-0.086674,-74.933383,11.604897,-54.030858
106335065170199676!,thoughtful-ruddy-butterfly,0.020000,1.645585,2.002284,0.224151,0.595328,0.473123,0.161723,-1.336458,0.355745,-0.483727,-0.505760,0.065151,-0.190599,-72.216168,17.403356,-30.826650
106335065170199676!,thoughtful-ruddy-butterfly,0.030000,1.630336,2.005261,0.218248,0.588925,0.473958,0.159260,-1.711237,0.238123,-0.694972,-0.775095,0.101226,-0.301248,-70.373494,20.658388,-20.335669
106335065170199676!,thoughtful-ruddy-butterfly,0.040000,1.611675,2.006727,0.210312,0.579778,0.475147,0.155676,-2.017355,0.054202,-0.888917,-1.054002,0.135698,-0.414170,-68.945446,22.887459,-15.671355
106335065170199676!,thoughtful-ruddy-butterfly,0.050000,1.590120,2.006182,0.200517,0.567778,0.476668,0.150956,-2.287961,-0.162608,-1.065175,-1.343908,0.167064,-0.527532,-67.691698,24.725120,-13.760038
106335065170199676!,thoughtful-ruddy-butterfly,0.060000,1.565947,2.003371,0.189045,0.552805,0.478484,0.145098,-2.538393,-0.397106,-1.222380,-1.646288,0.194256,-0.640593,-66.470294,26.407224,-13.222734
106335065170199676!,thoughtful-ruddy-butterfly,0.070000,1.539320,1.998154,0.176096,0.534726,0.480549,0.138105,-2.775769,-0.641903,-1.358592,-1.962042,0.216416,-0.753042,-65.185249,27.988147,-13.434979
106335065170199676!,thoughtful-ruddy-butterfly,0.080000,1.510349,1.990449,0.161891,0.513404,0.482809,0.129983,-3.003309,-0.892779,-1.471540,-2.291196,0.232795,-0.864691,-63.764049,29.438819,-14.105553
106335065170199676!,thoughtful-ruddy-butterfly,0.090000,1.479122,1.980210,0.146674,0.488707,0.485202,0.120742,-3.222315,-1.146649,-1.558807,-2.632760,0.242715,-0.975356,-62.149062,30.691820,-15.087872
106335065170199676!,thoughtful-ruddy-butterfly,0.100000,1.445718,1.967422,0.130715,0.460516,0.487662,0.110390,-3.433108,-1.400724,-1.618008,-2.984673,0.245561,-1.084802,-60.295332,31.663747,-16.294976
106335065170199676!,thoughtful-ruddy-butterfly,0.110000,1.410216,1.952100,0.114306,0.428742,0.490113,0.098940,-3.635501,-1.652208,-1.646985,-3.343823,0.240779,-1.192731,-58.171086,32.268149,-17.660983
106335065170199676!,thoughtful-ruddy-butterfly,0.120000,1.372694,1.934287,0.097762,0.393330,0.492477,0.086410,-3.829071,-1.898268,-1.643999,-3.706118,0.227883,-1.298779,-55.759029,32.424663,-19.123829
106335065170199676!,thoughtful-ruddy-butterfly,0.130000,1.333260,1.914059,0.081415,0.354289,0.494668,0.072826,-4.013306,-2.136156,-1.607982,-4.066628,0.206487,-1.402567,-53.057866,32.066043,-20.619392
106335065170199676!,thoughtful-ruddy-butterfly,0.140000,1.292015,1.891517,0.065601,0.311672,0.496599,0.058216,-4.187750,-2.363249,-1.538626,-4.419732,0.176264,-1.503594,-50.082030,31.145922,-22.075343
106335065170199676!,thoughtful-ruddy-butterfly,0.150000,1.249056,1.866780,0.050652,0.265584,0.498181,0.042610,-4.352040,-2.577248,-1.436510,-4.759356,0.136957,-1.601266,-46.860652,29.642163,-23.415303
106335065170199676!,thoughtful-ruddy-butterfly,0.160000,1.204482,1.839988,0.036888,0.216189,0.499321,0.026044,-4.505896,-2.776322,-1.303176,-5.079240,0.088403,-1.694912,-43.435685,27.558936,-24.562951
106335065170199676!,thoughtful-ruddy-butterfly,0.170000,1.158395,1.811297,0.024609,0.163714,0.499927,0.008561,-4.649094,-2.959192,-1.141117,-5.373210,0.030546,-1.783787,-39.859221,24.926945,-25.446166
106335065170199676!,thoughtful-ruddy-butterfly,0.180000,1.110896,1.780874,0.014085,0.108449,0.499904,-0.009789,-4.781401,-3.125143,-0.953694,-5.635430,-0.036560,-1.867071,-36.190531,21.801398,-26.001723
106335065170199676!,thoughtful-ruddy-butterfly,0.190000,1.062091,1.748887,0.005551,0.050734,0.499161,-0.028946,-4.902488,-3.273969,-0.744984,-5.860643,-0.112726,-1.943875,-32.493282,18.258122,-26.179921
106335065170199676!,thoughtful-ruddy-butterfly,0.200000,1.012088,1.715505,-0.000804,-0.009038,0.497609,-0.048844,-5.011855,-3.405854,-0.519568,-6.044352,-0.197618,-2.013265,-28.833274,14.388510,-25.948565
106335065170199676!,thoughtful-ruddy-butterfly,0.210000,0.961002,1.680895,-0.004839,-0.070433,0.495159,-0.069405,-5.108771,-3.521199,-0.282298,-6.182954,-0.290747,-2.074280,-25.276748,10.294065,-25.295871
106335065170199676!,thoughtful-ruddy-butterfly,0.220000,0.908981,1.645215,-0.006460,-0.132977,0.491735,-0.090536,-5.192283,-3.620246,-0.038054,-6.273723,-0.391409,-2.125897,-21.891650,6.083448,-24.226845
106335065170199676!,thoughtful-ruddy-butterfly,0.230000,0.856278,1.608624,-0.005619,-0.196129,0.487270,-0.112106,-5.261323,-3.702286,0.208554,-6.314539,-0.498515,-2.166802,-18.754705,1.874620,-22.749676
106335065170199676!,thoughtful-ruddy-butterfly,0.240000,0.803048,1.571288,-0.002315,-0.259392,0.481708,-0.134006,-5.314585,-3.767237,0.453322,-6.304687,-0.610969,-2.196232,-15.924724,-2.228062,-20.930861
106335065170199676!,thoughtful-ruddy-butterfly,0.250000,0.749449,1.533382,0.003413,-0.322266,0.475001,-0.156121,-5.350981,-3.814694,0.692485,-6.244382,-0.727575,-2.213662,-13.452719,-6.125166,-18.848719
106335065170199676!,thoughtful-ruddy-butterfly,0.260000,0.695646,1.495084,0.011492,-0.384260,0.467116,-0.178332,-5.369790,-3.843936,0.922746,-6.134662,-0.847088,-2.218826,-11.378781,-9.724380,-16.589718
106335065170199676!,thoughtful-ruddy-butterfly,0.270000,0.641803,1.456582,0.021818,-0.444896,0.458030,-0.200521,-5.370802,-3.853976,1.141264,-5.977265,-0.968271,-2.211725,-9.729330,-12.942112,-14.243116
106335065170199676!,thoughtful-ruddy-butterfly,0.280000,0.588087,1.418076,0.034262,-0.503714,0.447731,-0.222568,-5.354441,-3.843651,1.345607,-5.774484,-1.089950,-2.192606,-8.515183,-15.704881,-11.895158
106335065170199676!,thoughtful-ruddy-butterfly,0.290000,0.534652,1.379778,0.048670,-0.560279,0.436220,-0.244360,-5.321817,-3.811728,1.533686,-5.529023,-1.211061,-2.161933,-7.730919,-17.950680,-9.623675
106335065170199676!,thoughtful-ruddy-butterfly,0.300000,0.481642,1.341911,0.064872,-0.614182,0.423507,-0.265785,-5.274732,-3.757019,1.703675,-5.243859,-1.330681,-2.120332,-7.355811,-19.630289,-7.493719
106335065170199676!,thoughtful-ruddy-butterfly,0.310000,0.429182,1.304709,0.082676,-0.665046,0.409609,-0.286741,-5.215619,-3.678491,1.853933,-4.922118,-1.448044,-2.068533,-7.356292,-20.708415,-5.554744
