ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
1427641585644873219!,thoughtful-steel-butterfly,0.000000,-1.982134,0.524272,-0.022800,0.925534,0.177532,0.467421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,483.445017,-122.261583,-1.379947
1427641585644873219!,thoughtful-steel-butterfly,0.010000,-1.980998,0.531230,-0.020304,0.925791,0.178548,0.467034,0.228598,1.389474,0.498025,0.050608,0.202590,-0.077451,304.501943,-3.868915,-84.671762
1427641585644873219!,thoughtful-steel-butterfly,0.020000,-1.976911,0.548763,-0.012898,0.926457,0.181623,0.465847,0.591325,2.114626,0.982486,0.080578,0.411650,-0.160493,218.507569,48.624074,-119.762278
1427641585644873219!,thoughtful-steel-butterfly,0.030000,-1.968914,0.571962,-0.000737,0.927320,0.186766,0.463808,1.008210,2.520307,1.447218,0.088825,0.615225,-0.247739,175.438085,70.366656,-132.199327
1427641585644873219!,thoughtful-steel-butterfly,0.040000,-1.956662,0.598422,0.015971,0.928147,0.193893,0.460875,1.438757,2.765145,1.888824,0.072550,0.806830,-0.339439,152.490164,77.610904,-133.907433
1427641585644873219!,thoughtful-steel-butterfly,0.050000,-1.940115,0.626903,0.036987,0.928677,0.202867,0.456996,1.863526,2.923123,2.305303,0.028785,0.982838,-0.436296,139.206557,77.855324,-130.413327
1427641585644873219!,thoughtful-steel-butterfly,0.060000,-1.919372,0.656714,0.062058,0.928622,0.213523,0.452115,2.273177,3.029607,2.695089,-0.044931,1.141069,-0.538899,130.744446,74.588818,-124.299187
1427641585644873219!,thoughtful-steel-butterfly,0.070000,-1.894607,0.687433,0.090912,0.927669,0.225676,0.446173,2.663072,3.102237,3.056609,-0.150281,1.280126,-0.647493,124.824627,69.466787,-116.798968
1427641585644873219!,thoughtful-steel-butterfly,0.080000,-1.866045,0.718762,0.123241,0.925499,0.239123,0.439113,3.030804,3.150434,3.388146,-0.288021,1.399126,-0.761905,120.344518,63.306549,-108.531672
1427641585644873219!,thoughtful-steel-butterfly,0.090000,-1.833948,0.750472,0.158701,0.921791,0.253645,0.430888,3.375079,3.179748,3.687832,-0.457944,1.497572,-0.881555,116.743724,56.542316,-99.835664
1427641585644873219!,thoughtful-steel-butterfly,0.100000,-1.798555,0.782389,0.196962,0.916228,0.269035,0.421450,3.695228,3.193925,3.953649,-0.659085,1.575211,-1.005547,113.703291,49.436351,-90.920704
1427641585644873219!,thoughtful-steel-butterfly,0.110000,-1.760102,0.814376,0.237682,0.908508,0.285089,0.410760,3.991052,3.195762,4.183552,-0.889708,1.632043,-1.132724,111.018682,42.172211,-81.938111
1427641585644873219!,thoughtful-steel-butterfly,0.120000,-1.718824,0.846322,0.280499,0.898347,0.301603,0.398793,4.262773,3.187487,4.375571,-1.147364,1.668319,-1.261735,108.541090,34.896151,-73.011024
1427641585644873219!,thoughtful-steel-butterfly,0.130000,-1.674953,0.878140,0.325034,0.885489,0.318377,0.385534,4.511025,3.170918,4.527928,-1.428962,1.684536,-1.391104,106.151150,27.734512,-64.246712
1427641585644873219!,thoughtful-steel-butterfly,0.140000,-1.628712,0.909756,0.370887,0.869712,0.335215,0.370986,4.736830,3.147511,4.639135,-1.730850,1.681424,-1.519301,103.747584,20.799877,-55.740455
1427641585644873219!,thoughtful-steel-butterfly,0.150000,-1.580317,0.941109,0.417645,0.850831,0.351932,0.355168,4.941573,3.118375,4.708088,-2.048914,1.659926,-1.644802,101.241843,14.192809,-47.576246
1427641585644873219!,thoughtful-steel-butterfly,0.160000,-1.529966,0.972150,0.464883,0.828705,0.368348,0.338112,5.126967,3.084273,4.734137,-2.378686,1.621169,-1.766139,98.555313,8.001917,-39.826428
1427641585644873219!,thoughtful-steel-butterfly,0.170000,-1.477844,1.002837,0.512172,0.803240,0.384297,0.319869,5.294966,3.045595,4.717137,-2.715456,1.566433,-1.881944,95.620683,2.301231,-32.549478
1427641585644873219!,thoughtful-steel-butterfly,0.180000,-1.424111,1.033129,0.559082,0.774391,0.399626,0.300498,5.447679,3.002362,4.657482,-3.054384,1.497116,-1.990980,92.381338,-2.850263,-25.789714
1427641585644873219!,thoughtful-steel-butterfly,0.190000,-1.368910,1.062982,0.605190,0.742158,0.414196,0.280075,5.587265,2.954239,4.556121,-3.390613,1.414695,-2.092160,88.791091,-7.408713,-19.577493
1427641585644873219!,thoughtful-steel-butterfly,0.200000,-1.312361,1.092348,0.650085,0.706595,0.427883,0.258681,5.715819,2.900555,4.414556,-3.719366,1.320699,-2.184559,84.813976,-11.344968,-13.929961
1427641585644873219!,thoughtful-steel-butterfly,0.210000,-1.254563,1.121170,0.693373,0.667799,0.440579,0.236411,5.835261,2.840341,4.234820,-4.036049,1.216675,-2.267414,80.424031,-14.643685,-8.852251
1427641585644873219!,thoughtful-steel-butterfly,0.220000,-1.195599,1.149378,0.734682,0.625914,0.452191,0.213363,5.947231,2.772385,4.019451,-4.336339,1.104169,-2.340120,75.605066,-17.302110,-4.338947
1427641585644873219!,thoughtful-steel-butterfly,0.230000,-1.135536,1.176888,0.773670,0.581127,0.462640,0.189642,6.052994,2.695301,3.771446,-4.616260,0.984703,-2.402228,70.350451,-19.328720,-0.375651
1427641585644873219!,thoughtful-steel-butterfly,0.240000,-1.074431,1.203603,0.810025,0.533661,0.471866,0.165357,6.153369,2.607608,3.494206,-4.872254,0.859759,-2.453429,64.662949,-20.741850,3.059509
1427641585644873219!,thoughtful-steel-butterfly,0.250000,-1.012337,1.229408,0.843473,0.483774,0.479819,0.140618,6.248673,2.507829,3.191477,-5.101234,0.730770,-2.493546,58.554578,-21.568435,5.994512
1427641585644873219!,thoughtful-steel-butterfly,0.260000,-0.949305,1.254173,0.873777,0.431754,0.486468,0.115539,6.338705,2.394585,2.867277,-5.300633,0.599114,-2.522520,52.046498,-21.842892,8.462283
1427641585644873219!,thoughtful-steel-butterfly,0.270000,-0.885392,1.277755,0.900743,0.377909,0.491791,0.090232,6.422746,2.266705,2.525823,-5.468431,0.466103,-2.540405,45.168859,-21.606154,10.499716
1427641585644873219!,thoughtful-steel-butterfly,0.280000,-0.820667,1.299998,0.924221,0.322569,0.495782,0.064808,6.499596,2.123325,2.171457,-5.603179,0.332988,-2.547353,37.960564,-20.904819,12.146855
1427641585644873219!,thoughtful-steel-butterfly,0.290000,-0.755212,1.320741,0.944104,0.266072,0.498447,0.039378,6.567644,1.963979,1.808560,-5.704002,0.200948,-2.543607,30.468874,-19.790345,13.446178
1427641585644873219!,thoughtful-steel-butterfly,0.300000,-0.689130,1.339819,0.960330,0.208765,0.499803,0.014048,6.624956,1.788672,1.441478,-5.770591,0.071096,-2.529495,22.748801,-18.318237,14.441916
1427641585644873219!,thoughtful-steel-butterfly,0.310000,-0.622545,1.357070,0.972881,0.150995,0.499877,-0.011078,6.669391,1.597941,1.074448,-5.803189,-0.055525,-2.505423,14.862241,-16.547160,15.179364
1427641585644873219!,thoughtful-steel-butterfly,0.320000,-0.555606,1.372340,0.981780,0.093104,0.498709,-0.035901,6.698729,1.392874,0.711522,-5.802556,-0.177946,-2.471870,6.876827,-14.537946,15.704147
1427641585644873219!,thoughtful-steel-butterfly,0.330000,-0.488489,1.385464,0.987095,0.035408,0.496347,-0.060334,6.710737,1.175232,0.356420,-5.769903,-0.295299,-2.429339,-1.130896,-12.353917,16.061833
1427641585644873219!,thoughtful-steel-butterfly,0.340000,-0.421385,1.396318,0.988922,-0.021792,0.492844,-0.084292,6.703452,0.947216,0.012565,-5.706858,-0.406783,-2.378407,-9.088485,-10.053885,16.293859
1427641585644873219!,thoughtful-steel-butterfly,0.350000,-0.354495,1.404800,0.987392,-0.078216,0.488262,-0.107702,6.675241,0.711432,-0.316991,-5.615395,-0.511685,-2.319696,-16.925531,-7.693310,16.438325
1427641585644873219!,thoughtful-steel-butterfly,0.360000,-0.288030,1.410858,0.982662,-0.133597,0.482672,-0.130491,6.624916,0.470732,-0.629499,-5.497800,-0.609350,-2.253916,-24.576489,-5.323772,16.530156
1427641585644873219!,thoughtful-steel-butterfly,0.370000,-0.222209,1.414466,0.974913,-0.187689,0.476146,-0.152593,6.551745,0.228207,-0.922609,-5.356597,-0.699218,-2.181815,-31.977680,-2.994136,16.601683
1427641585644873219!,thoughtful-steel-butterfly,0.380000,-0.157256,1.415628,0.964348,-0.240272,0.468766,-0.173950,6.455498,-0.012924,-1.194383,-5.194481,-0.780819,-2.104175,-39.069405,-0.749099,16.681703
1427641585644873219!,thoughtful-steel-butterfly,0.390000,-0.093395,1.414382,0.951186,-0.291154,0.460614,-0.194511,6.336472,-0.249420,-1.443292,-5.014255,-0.853777,-2.021801,-45.797630,1.371847,16.794899
1427641585644873219!,thoughtful-steel-butterfly,0.400000,-0.030844,1.410794,0.935659,-0.340169,0.451779,-0.214233,6.195484,-0.478133,-1.668220,-4.818773,-0.917817,-1.935512,-52.115320,3.335113,16.961520
1427641585644873219!,thoughtful-steel-butterfly,0.410000,0.030189,1.404962,0.918011,-0.387180,0.442349,-0.233082,6.033843,-0.696113,-1.868443,-4.610881,-0.972757,-1.846124,-57.983461,5.113454,17.197276
1427641585644873219!,thoughtful-steel-butterfly,0.420000,0.089512,1.397009,0.898486,-0.432078,0.432416,-0.251031,5.853295,-0.900696,-2.043611,-4.393367,-1.018512,-1.754445,-63.371743,6.686150,17.513414
1427641585644873219!,thoughtful-steel-butterfly,0.430000,0.146948,1.387082,0.877336,-0.474781,0.422070,-0.268062,5.655950,-1.089581,-2.193718,-4.168915,-1.055090,-1.661263,-68.258925,8.038943,17.916951
1427641585644873219!,thoughtful-steel-butterfly,0.440000,0.202347,1.375350,0.854806,-0.515231,0.411402,-0.284163,5.444205,-1.260879,-2.319070,-3.940066,-1.082584,-1.567331,-72.632860,9.163771,18.411051
1427641585644873219!,thoughtful-steel-butterfly,0.450000,0.255579,1.361996,0.831141,-0.553396,0.400502,-0.299330,5.220651,-1.413150,-2.420252,-3.709188,-1.101169,-1.473359,-76.490221,10.058311,18.995487
1427641585644873219!,thoughtful-steel-butterfly,0.460000,0.306541,1.347216,0.806577,-0.589266,0.389457,-0.313566,4.987986,-1.545405,-2.498083,-3.478447,-1.111095,-1.380010,-79.835949,10.725380,19.667182
1427641585644873219!,thoughtful-steel-butterfly,0.470000,0.355157,1.331213,0.781341,-0.622852,0.378352,-0.326879,4.748929,-1.657106,-2.553583,-3.249792,-1.112673,-1.287882,-82.682484,11.172222,20.420784
