ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
145567870674025758!,thoughtful-zippy-butterfly,0.000000,2.047652,-1.165329,0.830600,0.421738,0.497618,0.048746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-817.060880,-423.931214,276.557093,391.473557
145567870674025758!,thoughtful-zippy-butterfly,0.010000,2.029110,-1.177862,0.829712,0.422589,0.497612,0.048812,-3.716311,-2.485869,-0.175987,0.167295,-0.001175,0.011974,-344.249797,-200.591399,152.772486,266.056885
145567870674025758!,thoughtful-zippy-butterfly,0.020000,1.982076,-1.207533,0.827164,0.425311,0.497561,0.049330,-5.702514,-3.425248,-0.332109,0.373243,-0.008914,0.089914,-118.975406,-94.003286,92.702432,204.226292
145567870674025758!,thoughtful-zippy-butterfly,0.030000,1.919283,-1.242742,0.823129,0.430114,0.497417,0.050757,-6.862483,-3.600484,-0.474715,0.585160,-0.019860,0.194626,-12.564396,-42.707331,61.617032,168.849101
145567870674025758!,thoughtful-zippy-butterfly,0.040000,1.846996,-1.277860,0.817734,0.436964,0.497155,0.053259,-7.595922,-3.413735,-0.604481,0.782631,-0.032662,0.304887,37.534282,-17.386307,44.002262,145.152632
145567870674025758!,thoughtful-zippy-butterfly,0.050000,1.768561,-1.310253,0.811101,0.445671,0.496759,0.056841,-8.087707,-3.061066,-0.721604,0.955479,-0.046919,0.410043,60.932118,-4.273933,32.769922,126.772257
145567870674025758!,thoughtful-zippy-butterfly,0.060000,1.685967,-1.338743,0.803355,0.455970,0.496212,0.061428,-8.425774,-2.637765,-0.826325,1.099525,-0.062505,0.504907,71.495224,3.041870,24.664473,110.896429
145567870674025758!,thoughtful-zippy-butterfly,0.070000,1.600546,-1.362863,0.794618,0.467569,0.495503,0.066906,-8.653375,-2.191634,-0.918856,1.213830,-0.079265,0.587034,75.699302,7.529866,18.207392,96.329695
145567870674025758!,thoughtful-zippy-butterfly,0.080000,1.513304,-1.382511,0.785011,0.480173,0.494621,0.073142,-8.793328,-1.748132,-0.999361,1.299238,-0.096918,0.655402,76.580921,10.553496,12.749406,82.638243
145567870674025758!,thoughtful-zippy-butterfly,0.090000,1.425063,-1.397788,0.774656,0.493500,0.493559,0.079997,-8.859470,-1.321828,-1.068021,1.357625,-0.115046,0.709798,75.589018,12.732908,8.022841,69.742376
145567870674025758!,thoughtful-zippy-butterfly,0.100000,1.336533,-1.408912,0.763671,0.507289,0.492314,0.087330,-8.861984,-0.921517,-1.125102,1.391479,-0.133132,0.750519,73.447569,14.349707,3.926790,57.710558
145567870674025758!,thoughtful-zippy-butterfly,0.110000,1.248325,-1.416178,0.752174,0.521303,0.490891,0.095003,-8.809722,-0.552501,-1.170998,1.403625,-0.150611,0.778222,70.554655,15.537190,0.423401,46.651317
145567870674025758!,thoughtful-zippy-butterfly,0.120000,1.160929,-1.419935,0.740281,0.535328,0.489301,0.102883,-8.711055,-0.217591,-1.206205,1.396971,-0.166906,0.793787,67.167307,16.371136,-2.512997,36.653338
145567870674025758!,thoughtful-zippy-butterfly,0.130000,1.074766,-1.420536,0.728097,0.549190,0.487557,0.110852,-8.573921,0.082151,-1.231408,1.374420,-0.181497,0.798276,63.463505,16.900235,-4.909116,27.771499
145567870674025758!,thoughtful-zippy-butterfly,0.140000,0.990177,-1.418335,0.715718,0.562743,0.485681,0.118803,-8.405835,0.347011,-1.247425,1.338737,-0.193941,0.792851,59.585491,17.167912,-6.802930,20.014404
145567870674025758!,thoughtful-zippy-butterfly,0.150000,0.907428,-1.413678,0.703231,0.575870,0.483695,0.126644,-8.213710,0.578280,-1.255164,1.292471,-0.203888,0.778716,55.650255,17.216893,-8.242577,13.348454
145567870674025758!,thoughtful-zippy-butterfly,0.160000,0.826721,-1.406892,0.690713,0.588478,0.481628,0.134294,-8.003709,0.777939,-1.255593,1.237904,-0.211095,0.757065,51.752642,17.089264,-9.282591,7.707052
145567870674025758!,thoughtful-zippy-butterfly,0.170000,0.748197,-1.398280,0.678231,0.600495,0.479506,0.141683,-7.781164,0.948390,-1.249698,1.177023,-0.215417,0.729046,47.966490,16.825032,-9.979643,3.001458
145567870674025758!,thoughtful-zippy-butterfly,0.180000,0.671950,-1.388120,0.665841,0.611870,0.477359,0.148756,-7.550564,1.092243,-1.238454,1.111523,-0.216804,0.695724,44.345943,16.460570,-10.388896,-0.868942
145567870674025758!,thoughtful-zippy-butterfly,0.190000,0.598032,-1.376662,0.653590,0.622566,0.475216,0.155466,-7.315591,1.212137,-1.222804,1.042818,-0.215287,0.658072,40.927474,16.027538,-10.561399,-4.008139
145567870674025758!,thoughtful-zippy-butterfly,0.200000,0.526454,-1.364126,0.641515,0.632562,0.473105,0.161777,-7.079190,1.310632,-1.203630,0.972047,-0.210964,0.616946,37.733731,15.553298,-10.543283,-6.518868
145567870674025758!,thoughtful-zippy-butterfly,0.210000,0.457176,-1.350701,0.629640,0.641850,0.471050,0.167667,-6.843627,1.390142,-1.181738,0.900082,-0.203981,0.573071,34.777943,15.062188,-10.376113,-8.500902
145567870674025758!,thoughtful-zippy-butterfly,0.220000,0.390184,-1.336560,0.617986,0.650424,0.469076,0.173113,-6.610660,1.452797,-1.157896,0.827653,-0.194528,0.527103,32.055611,14.567794,-10.090331,-10.034342
145567870674025758!,thoughtful-zippy-butterfly,0.230000,0.325449,-1.321861,0.606569,0.658283,0.467206,0.178098,-6.381659,1.500492,-1.132807,0.755315,-0.182824,0.479603,29.557844,14.080785,-9.711589,-11.190683
145567870674025758!,thoughtful-zippy-butterfly,0.240000,0.262933,-1.306742,0.595399,0.665431,0.465461,0.182610,-6.157663,1.534894,-1.107107,0.683477,-0.169105,0.431039,27.272365,13.608979,-9.260985,-12.032245
145567870674025758!,thoughtful-zippy-butterfly,0.250000,0.202588,-1.291329,0.584480,0.671872,0.463860,0.186639,-5.939456,1.557445,-1.081371,0.612425,-0.153623,0.381803,25.184615,13.157671,-8.755579,-12.612418
145567870674025758!,thoughtful-zippy-butterfly,0.260000,0.144359,-1.275733,0.573810,0.677616,0.462419,0.190181,-5.727619,1.569387,-1.056111,0.542339,-0.136632,0.332215,23.278747,12.730046,-8.208993,-12.976367
145567870674025758!,thoughtful-zippy-butterfly,0.270000,0.088186,-1.260056,0.563383,0.682671,0.461152,0.193233,-5.522576,1.571778,-1.031781,0.473317,-0.118388,0.282532,21.538414,12.327597,-7.632026,-13.161957
145567870674025758!,thoughtful-zippy-butterfly,0.280000,0.034005,-1.244390,0.553188,0.687047,0.460070,0.195794,-5.324640,1.565517,-1.008778,0.405385,-0.099143,0.232961,19.947373,11.950491,-7.033214,-13.200729
145567870674025758!,thoughtful-zippy-butterfly,0.290000,-0.018252,-1.228818,0.543212,0.690755,0.459183,0.197866,-5.134032,1.551367,-0.987452,0.338516,-0.079143,0.183665,18.489897,11.597893,-6.419321,-13.118854
145567870674025758!,thoughtful-zippy-butterfly,0.300000,-0.068654,-1.213417,0.533437,0.693803,0.458497,0.199451,-4.950914,1.529975,-0.968099,0.272638,-0.058625,0.134768,17.151067,11.268219,-5.795755,-12.937987
145567870674025758!,thoughtful-zippy-butterfly,0.310000,-0.117273,-1.198258,0.523843,0.696200,0.458016,0.200552,-4.775398,1.501894,-0.950971,0.207643,-0.037818,0.086367,15.916951,10.959340,-5.166907,-12.676017
145567870674025758!,thoughtful-zippy-butterfly,0.320000,-0.164183,-1.183407,0.514407,0.697953,0.457743,0.201175,-4.607564,1.467601,-0.936274,0.143399,-0.016937,0.038537,14.774712,10.668742,-4.536429,-12.347692
145567870674025758!,thoughtful-zippy-butterfly,0.330000,-0.209456,-1.168925,0.505105,0.699069,0.457678,0.201324,-4.447461,1.427511,-0.924172,0.079753,0.003813,-0.008669,13.712678,10.393643,-3.907447,-11.965132
145567870674025758!,thoughtful-zippy-butterfly,0.340000,-0.253168,-1.154872,0.495910,0.699551,0.457818,0.201004,-4.295121,1.381997,-0.914790,0.016541,0.024238,-0.055206,12.720543,10.131203,-3.282815,-11.538415
145567870674025758!,thoughtful-zippy-butterfly,0.350000,-0.295393,-1.141300,0.486795,0.699401,0.458161,0.200222,-4.150549,1.331390,-0.908206,-0.046412,0.044157,-0.101043,11.788775,9.878157,-2.664938,-11.075221
145567870674025758!,thoughtful-zippy-butterfly,0.360000,-0.336207,-1.128262,0.477732,0.698621,0.458700,0.198983,-4.013737,1.276006,-0.904462,-0.109284,0.063400,-0.146151,10.909504,9.631481,-2.056306,-10.582021
145567870674025758!,thoughtful-zippy-butterfly,0.370000,-0.375693,-1.115800,0.468692,0.697212,0.459427,0.197298,-3.884643,1.216146,-0.903557,-0.172254,0.081816,-0.190516,10.077336,9.389106,-1.460034,-10.065487
145567870674025758!,thoughtful-zippy-butterfly,0.380000,-0.413930,-1.103954,0.459648,0.695174,0.460334,0.195174,-3.763201,1.152100,-0.905452,-0.235497,0.099263,-0.234118,9.286680,9.147907,-0.878426,-9.529114
145567870674025758!,thoughtful-zippy-butterfly,0.390000,-0.450991,-1.092768,0.450570,0.692502,0.461409,0.192619,-3.649329,1.084155,-0.910073,-0.299170,0.115607,-0.276931,8.532228,8.904020,-0.313261,-8.973781
145567870674025758!,thoughtful-zippy-butterfly,0.400000,-0.486950,-1.082280,0.441433,0.689190,0.462641,0.189640,-3.542928,1.012605,-0.917310,-0.363416,0.130728,-0.318923,7.810503,8.654019,0.233347,-8.399775
145567870674025758!,thoughtful-zippy-butterfly,0.410000,-0.521879,-1.072528,0.432212,0.685230,0.464019,0.186243,-3.443877,0.937763,-0.927014,-0.428361,0.144516,-0.360057,7.119619,8.394797,0.759068,-7.806616
145567870674025758!,thoughtful-zippy-butterfly,0.420000,-0.555850,-1.063543,0.422881,0.680615,0.465528,0.182437,-3.352026,0.859955,-0.939003,-0.494108,0.156872,-0.400294,6.459070,8.123437,1.261479,-7.192851
145567870674025758!,thoughtful-zippy-butterfly,0.430000,-0.588934,-1.055355,0.413419,0.675336,0.467155,0.178232,-3.267194,0.779526,-0.953058,-0.560736,0.167713,-0.439583,5.829617,7.837182,1.738129,-6.556010
